"","State","County","Year","Month","D","G","L","N","O","R","Total","dPct","rPct","leanD","leanR","unaffiliatedPct","otherPct","dDRPct","rDRPct","CountyName","StateName","StateAbbr","YearMonth"
"1","06",6001,"2002","11",369434,15461,3381,121436,22544,130083,662339,0.557771775480532,0.196399426879589,2.83998677767272,0.352114315412225,0.183344178736266,0.0340369508665502,0.739582436633788,0.260417563366212,"Alameda","California","CA","2002-11"
"2","06",6003,"2002","11",284,7,5,178,43,311,828,0.342995169082126,0.3756038647343,0.913183279742765,1.09507042253521,0.214975845410628,0.0519323671497585,0.477310924369748,0.522689075630252,"Alpine","California","CA","2002-11"
"3","06",6005,"2002","11",7368,153,127,1979,834,8668,19129,0.385174342621151,0.453133985048879,0.850023073373327,1.17643865363735,0.10345548643421,0.0435987244497883,0.459466201047643,0.540533798952357,"Amador","California","CA","2002-11"
"4","06",6007,"2002","11",40394,2697,831,17039,4883,48144,113988,0.354370635505492,0.422360248447205,0.839024592888003,1.19186017725405,0.149480647085658,0.0428378425799207,0.456233481668888,0.543766518331112,"Butte","California","CA","2002-11"
"5","06",6009,"2002","11",9052,301,367,3110,888,11253,24971,0.362500500580674,0.450642745584878,0.804407713498623,1.24315068493151,0.124544471587041,0.0355612510512194,0.445801526717557,0.554198473282443,"Calaveras","California","CA","2002-11"
"6","06",6011,"2002","11",2959,22,35,828,233,3435,7512,0.393903088391906,0.457268370607029,0.861426491994178,1.16086515714768,0.110223642172524,0.0310170394036209,0.462777604003754,0.537222395996246,"Colusa","California","CA","2002-11"
"7","06",6013,"2002","11",237561,4718,2378,68965,15710,155308,484640,0.49018034004622,0.320460548035655,1.52961212558271,0.653760507827463,0.142301502145923,0.032415813799934,0.604682476856153,0.395317523143847,"Contra Costa","California","CA","2002-11"
"8","06",6015,"2002","11",4687,122,82,1964,513,4699,12067,0.388414684677219,0.38940913234441,0.997446265162801,1.0025602730958,0.162757934863678,0.0425126377724372,0.499360750053271,0.500639249946729,"Del Norte","California","CA","2002-11"
"9","06",6017,"2002","11",29551,966,642,12596,3201,42684,89640,0.329663096831772,0.476171352074967,0.692320307375129,1.44441812459815,0.140517626059795,0.0357095046854083,0.409095313906001,0.590904686093999,"El Dorado","California","CA","2002-11"
"10","06",6019,"2002","11",148208,1660,1336,34141,7863,151151,344359,0.430388054327025,0.438934367912556,0.980529404370464,1.01985722768002,0.0991436262737434,0.0228337287540038,0.495084497209037,0.504915502790963,"Fresno","California","CA","2002-11"
"11","06",6021,"2002","11",4083,39,38,1417,391,5378,11346,0.359862506610259,0.473999647452847,0.759204165117144,1.31716874846926,0.124889829014631,0.0344614842235149,0.431561145756263,0.568438854243737,"Glenn","California","CA","2002-11"
"12","06",6023,"2002","11",33246,5396,736,11918,2541,22677,76514,0.434508717358915,0.296377133596466,1.46606694007144,0.682097094387295,0.155762344146169,0.0332096086990616,0.594496003433292,0.405503996566708,"Humboldt","California","CA","2002-11"
"13","06",6025,"2002","11",27936,125,182,7205,1564,14259,51271,0.544869419359872,0.278110432798268,1.95918367346939,0.510416666666667,0.140527783737395,0.03050457373564,0.662068965517241,0.337931034482759,"Imperial","California","CA","2002-11"
"14","06",6027,"2002","11",3465,102,61,1353,406,5000,10387,0.333590064503707,0.481370944449793,0.693,1.44300144300144,0.130258977568114,0.0390873206893232,0.409332545776728,0.590667454223272,"Inyo","California","CA","2002-11"
"15","06",6029,"2002","11",98561,681,1329,26870,8022,124323,259786,0.379393038885852,0.478559275711547,0.79278170571817,1.26138127656984,0.103431285750579,0.0308792621619333,0.442207605750076,0.557792394249924,"Kern","California","CA","2002-11"
"16","06",6031,"2002","11",19016,87,130,4222,1566,20851,45872,0.414544820369724,0.454547436344611,0.911994628554985,1.09649768615902,0.0920387164283223,0.0341384722706662,0.476985978378107,0.523014021621893,"Kings","California","CA","2002-11"
"17","06",6033,"2002","11",14487,500,236,4503,1256,10611,31593,0.458550944829551,0.335865539834774,1.3652813118462,0.732449782563678,0.142531573449815,0.039755642072611,0.577217308152044,0.422782691847956,"Lake","California","CA","2002-11"
"18","06",6035,"2002","11",4858,67,102,2440,754,6363,14584,0.333104772353264,0.436300054854635,0.763476347634763,1.30979827089337,0.167306637410861,0.0517004936917169,0.432938240798503,0.567061759201497,"Lassen","California","CA","2002-11"
"19","06",6037,"2002","11",2080329,27113,20584,602319,149002,1096842,3976189,0.523196709210754,0.275852581454252,1.89665330102239,0.527244488732311,0.151481481388334,0.0374735707985712,0.654774011219415,0.345225988780585,"Los Angeles","California","CA","2002-11"
"20","06",6039,"2002","11",15933,193,202,4036,1146,21526,43036,0.370224927967283,0.500185890882052,0.740174672489083,1.35103244837758,0.0937819499953527,0.0266288688539827,0.42534504391468,0.57465495608532,"Madera","California","CA","2002-11"
"21","06",6041,"2002","11",70310,4212,822,24747,3568,36734,140393,0.500808444865485,0.261651221927019,1.91403059835575,0.52245768738444,0.176269472124679,0.02541437251145,0.656832704308509,0.343167295691491,"Marin","California","CA","2002-11"
"22","06",6043,"2002","11",3861,160,94,1346,582,5451,11494,0.335914390116583,0.474247433443536,0.708310401761145,1.41181041181041,0.117104576300679,0.0506351139725074,0.414626288659794,0.585373711340206,"Mariposa","California","CA","2002-11"
"23","06",6045,"2002","11",21366,2734,382,7477,1967,12795,46721,0.457310417157167,0.273859720468312,1.66987104337632,0.598848638023027,0.160035101988399,0.0421009824276022,0.625450074646527,0.374549925353473,"Mendocino","California","CA","2002-11"
"24","06",6047,"2002","11",46879,289,264,7626,1907,39672,96637,0.485104049173712,0.41052598901042,1.18166465013107,0.846263785490305,0.078913873568095,0.0197336423937001,0.541634412080738,0.458365587919261,"Merced","California","CA","2002-11"
"25","06",6049,"2002","11",1811,21,42,617,173,2460,5124,0.353434816549571,0.480093676814988,0.736178861788618,1.3583655438984,0.120413739266198,0.0337626854020297,0.424022477171623,0.575977522828377,"Modoc","California","CA","2002-11"
"26","06",6051,"2002","11",1800,119,63,1099,213,2509,5803,0.310184387385835,0.432362571083922,0.717417297728179,1.39388888888889,0.189384800965018,0.0367051525073238,0.417730331863541,0.582269668136459,"Mono","California","CA","2002-11"
"27","06",6053,"2002","11",74580,1531,763,21921,4140,51202,154137,0.483855271609023,0.332185004249466,1.45658372719816,0.686537945829981,0.1422176375562,0.0268592226395998,0.592930626003721,0.407069373996279,"Monterey","California","CA","2002-11"
