"","State","County","Year","Month","D","G","L","N","O","R","Total","dPct","rPct","leanD","leanR","unaffiliatedPct","otherPct","dDRPct","rDRPct","CountyName","StateName","StateAbbr","YearMonth"
"1","06",6001,"2008","11",462445,10943,3121,181752,22895,121853,803009,0.575890183049007,0.151745497248474,3.79510557803255,0.263497280757712,0.226338683626211,0.0285115110789543,0.791454018326265,0.208545981673735,"Alameda","California","CA","2008-11"
"2","06",6003,"2008","11",306,17,4,177,32,280,816,0.375,0.343137254901961,1.09285714285714,0.915032679738562,0.216911764705882,0.0392156862745098,0.522184300341297,0.477815699658703,"Alpine","California","CA","2008-11"
"3","06",6005,"2008","11",7501,132,132,3148,822,9727,21462,0.349501444413382,0.453219644021992,0.771152462218567,1.29676043194241,0.146677849221881,0.0383002516074923,0.435395867192942,0.564604132807058,"Amador","California","CA","2008-11"
"4","06",6007,"2008","11",44808,1657,817,22901,5152,47506,122841,0.364764207390041,0.386727558388486,0.943207173830674,1.06021246206035,0.186427984142102,0.0419403944936951,0.48538683189982,0.51461316810018,"Butte","California","CA","2008-11"
"5","06",6009,"2008","11",9632,292,314,4698,1143,12309,28388,0.339298295054248,0.43359870367761,0.782516857583882,1.27792774086379,0.165492461603494,0.0402634916161759,0.438995487899366,0.561004512100634,"Calaveras","California","CA","2008-11"
"6","06",6011,"2008","11",2825,19,21,1231,145,3625,7866,0.359140605136028,0.460844139333842,0.779310344827586,1.28318584070796,0.156496313246885,0.0184337655733537,0.437984496124031,0.562015503875969,"Colusa","California","CA","2008-11"
"7","06",6013,"2008","11",263853,3619,2143,101413,15253,140864,527145,0.500532111658083,0.267220593954225,1.87310455474784,0.53387302778441,0.192381602784813,0.0289351127298941,0.651944445130795,0.348055554869205,"Contra Costa","California","CA","2008-11"
"8","06",6015,"2008","11",4782,97,73,2366,574,4789,12681,0.377099597823515,0.377651604763031,0.998538316976404,1.00146382266834,0.186578345556344,0.0452645690402965,0.499634311984119,0.500365688015881,"Del Norte","California","CA","2008-11"
"9","06",6017,"2008","11",34592,954,731,20714,4337,49997,111325,0.310729845048282,0.44910846620256,0.691881512890773,1.4453341813136,0.186067819447563,0.0389580058387604,0.408942061024483,0.591057938975517,"El Dorado","California","CA","2008-11"
"10","06",6019,"2008","11",153434,1583,1353,42911,20093,163453,382827,0.40079200265394,0.426963092989784,0.93870409230788,1.06529843450604,0.112089795129393,0.0524858486992819,0.484191525685812,0.515808474314188,"Fresno","California","CA","2008-11"
"11","06",6021,"2008","11",4047,43,39,2103,484,5705,12421,0.325819177199903,0.459302793655905,0.709377738825592,1.40968618729923,0.16931003944932,0.0389662668062153,0.414991796554553,0.585008203445447,"Glenn","California","CA","2008-11"
"12","06",6023,"2008","11",34098,3167,660,16816,2684,21715,79140,0.430856709628506,0.274387161991408,1.57025097858623,0.636840870432283,0.212484205205964,0.0339145817538539,0.610932936771003,0.389067063228997,"Humboldt","California","CA","2008-11"
"13","06",6025,"2008","11",30564,107,168,9484,1578,16249,58150,0.525606190885641,0.279432502149613,1.88097729091021,0.531638528988352,0.163095442820292,0.0271367153912296,0.652895563198257,0.347104436801743,"Imperial","California","CA","2008-11"
"14","06",6027,"2008","11",3406,85,55,1747,384,4581,10258,0.332033534802106,0.446578280366543,0.743505784763152,1.34497944803288,0.170306102554104,0.0374341976993566,0.426442969825967,0.573557030174033,"Inyo","California","CA","2008-11"
"15","06",6029,"2008","11",112084,720,1339,47873,9078,140043,311137,0.36024002288381,0.450100759472515,0.800354176931371,1.24944684343885,0.153864696259204,0.0291768577829059,0.444553736807244,0.555446263192756,"Kern","California","CA","2008-11"
"16","06",6031,"2008","11",18626,105,152,6585,1505,22685,49658,0.375085585404164,0.456824680816787,0.821071192417897,1.21792118543971,0.132607032099561,0.0303073019453059,0.450872648931277,0.549127351068723,"Kings","California","CA","2008-11"
"17","06",6033,"2008","11",15292,380,214,7335,1388,10545,35154,0.43500028446265,0.299965864481994,1.45016595542911,0.689576249019095,0.208653353814644,0.0394834158275018,0.591864380539536,0.408135619460464,"Lake","California","CA","2008-11"
"18","06",6035,"2008","11",4040,55,74,2557,657,6714,14097,0.286585798396822,0.476271547137689,0.601727733095025,1.66188118811881,0.181386110519969,0.0466056607788891,0.375674167751534,0.624325832248466,"Lassen","California","CA","2008-11"
"19","06",6037,"2008","11",2226641,22282,18307,859076,137921,1034213,4298440,0.518011418095867,0.240601939308214,2.15298105902749,0.464472270114491,0.199857622765468,0.0320862917709681,0.682839832755468,0.317160167244532,"Los Angeles","California","CA","2008-11"
"20","06",6039,"2008","11",19033,203,219,8048,1498,25002,54003,0.352443382775031,0.462974279206711,0.761259099272058,1.31361319812956,0.149028757661611,0.0277391996740922,0.432224366980811,0.567775633019189,"Madera","California","CA","2008-11"
"21","06",6041,"2008","11",84605,2398,748,33431,3238,31220,155640,0.543594191724492,0.2005911076844,2.70996156310058,0.369008923822469,0.214796967360576,0.0208044204574659,0.73045542844809,0.26954457155191,"Marin","California","CA","2008-11"
"22","06",6043,"2008","11",3767,119,79,1898,543,5287,11693,0.322158556401266,0.452150859488583,0.712502364289767,1.40350411468012,0.162319336355084,0.0464380398529034,0.416059200353435,0.583940799646565,"Mariposa","California","CA","2008-11"
"23","06",6045,"2008","11",24114,2031,381,10519,1999,11677,50721,0.47542438043414,0.230220224364662,2.06508521024236,0.484241519449283,0.207389444214428,0.0394116835235898,0.67374479617781,0.32625520382219,"Mendocino","California","CA","2008-11"
