State,County,D,G,L,N,O,R
08,08065,2102,26,73,1659,23,921
08,08069,68430,1102,3301,97655,737,77775
08,08071,4682,38,85,2755,48,2818
08,08073,468,4,21,801,14,1883
08,08075,2091,10,97,4186,59,6344
08,08077,22544,343,1271,42302,523,50043
08,08079,298,1,1,177,1,360
08,08081,1176,17,63,3137,51,5150
08,08083,4569,104,130,6384,95,8857
08,08085,5027,68,195,9278,119,13005
08,08087,3295,23,111,5752,76,6967
08,08089,3812,22,59,3844,45,4269
08,08091,1308,36,46,1511,14,1572
08,08093,2790,58,162,5052,74,5528
08,08095,552,5,17,866,8,1824
08,08097,5515,95,151,6581,27,2529
08,08099,1568,5,44,2365,36,3315
08,08101,45190,326,879,34304,478,27363
08,08103,374,4,33,1015,12,2968
08,08105,2406,20,56,2146,41,3086
08,08107,5989,143,283,8209,69,5587
08,08109,2001,42,48,1383,16,996
08,08111,204,5,17,336,5,166
08,08113,2910,74,100,2179,24,1093
08,08115,282,1,7,506,4,1004
08,08117,8083,178,376,12239,54,6071
08,08119,3116,56,242,6367,94,9129
08,08121,309,1,15,625,10,2368
08,08123,43051,441,1975,68909,820,69254
08,08125,935,4,30,1862,24,3383
09,09001,184991,NA,NA,215674,5884,129288
09,09003,219995,NA,NA,207613,5393,94443
09,09005,31921,NA,NA,54295,1519,32253
09,09007,35621,NA,NA,46488,1182,23394
09,09009,203701,NA,NA,221690,4633,84807
09,09011,51985,NA,NA,77133,1794,32169
09,09013,27296,NA,NA,44385,1124,19420
09,09015,21376,NA,NA,31209,964,13527
10,10001,50440,98,274,29197,1423,35497
10,10003,214473,616,980,92270,5930,94730
10,10005,58800,117,310,34356,1800,60639
11,11001,366695,NA,NA,79551,6025,30086
12,12001,85519,NA,NA,39002,4144,50371
12,12003,5933,NA,NA,1453,182,7827
12,12005,31879,NA,NA,22961,2648,61441
12,12007,6454,NA,NA,2093,259,7309
12,12009,131710,NA,NA,93915,14813,174281
12,12011,602604,NA,NA,309948,18826,257746
12,12013,5413,NA,NA,843,87,2266
12,12015,36242,NA,NA,30621,5403,56777
12,12017,30532,NA,NA,23176,3504,49288
12,12019,32230,NA,NA,30967,3912,80640
12,12021,48762,NA,NA,47771,4713,104121
12,12023,14566,NA,NA,5895,921,16678
12,12027,7499,NA,NA,3132,242,5126
12,12029,4737,NA,NA,1338,231,3686
12,12031,242957,NA,NA,111701,17207,221847
12,12033,73213,NA,NA,38309,5472,94804
12,12035,25370,NA,NA,20790,1882,31697
12,12037,4184,NA,NA,809,145,2282
12,12039,22465,NA,NA,2359,308,4492
12,12041,3570,NA,NA,1439,311,6152
12,12043,3100,NA,NA,1011,164,2370
12,12045,4341,NA,NA,1065,178,4647
12,12047,4786,NA,NA,846,165,2304
12,12049,4687,NA,NA,1785,234,5024
12,12051,8236,NA,NA,2884,299,6166
12,12053,43235,NA,NA,29985,4809,53472
12,12055,20349,NA,NA,11943,1728,28132
12,12057,337632,NA,NA,224263,23703,268591
12,12059,4040,NA,NA,1133,117,6004
12,12061,29323,NA,NA,24658,3398,49873
12,12063,15834,NA,NA,2770,338,10148
12,12065,5736,NA,NA,844,175,2738
12,12067,2629,NA,NA,254,57,1528
12,12069,70313,NA,NA,48366,7556,98091
12,12071,118344,NA,NA,112836,10832,187428
12,12073,110240,NA,NA,35707,4649,57800
12,12075,9506,NA,NA,3875,1305,12350
12,12077,3397,NA,NA,348,25,734
12,12079,7177,NA,NA,1025,208,3257
12,12081,71921,NA,NA,54280,5633,101168
12,12083,76350,NA,NA,40757,8351,100369
12,12085,28107,NA,NA,22470,5301,55627
12,12086,594608,NA,NA,407347,20290,375101
12,12087,18127,NA,NA,14671,1478,21318
12,12089,13875,NA,NA,10309,1969,35311
12,12091,26602,NA,NA,28421,2855,79251
12,12093,7705,NA,NA,3384,628,8492
12,12095,335279,NA,NA,219136,17272,214519
12,12097,87695,NA,NA,60886,4040,47709
12,12099,385251,NA,NA,232904,31373,255740
12,12101,108134,NA,NA,83643,15313,131650
12,12103,233999,NA,NA,163284,24023,232349
12,12105,150617,NA,NA,100960,11877,146961
12,12107,20433,NA,NA,8252,977,18094
12,12113,26486,NA,NA,24238,4307,76847
12,12115,92854,NA,NA,71033,9466,130160
12,12117,99140,NA,NA,75559,7519,112290
12,12109,41021,NA,NA,35792,5208,92419
12,12111,79075,NA,NA,47191,6514,62927
12,12119,23545,NA,NA,16850,3044,49088
12,12121,10911,NA,NA,3145,1041,11396
12,12123,6960,NA,NA,930,249,4264
12,12125,3488,NA,NA,634,133,3029
12,12127,129448,NA,NA,95830,11871,128666
12,12129,8784,NA,NA,2838,576,7900
12,12131,9837,NA,NA,8617,890,27661
12,12133,5597,NA,NA,1796,234,7612
19,19001,1100,NA,NA,2196,16,2004
19,19003,627,NA,NA,1284,6,1020
19,19005,2278,NA,NA,3371,24,4397
19,19007,2612,NA,NA,3401,21,3121
19,19009,1020,NA,NA,1314,15,2099
19,19011,4324,NA,NA,7693,70,6196
19,19013,32745,NA,NA,32765,614,23130
19,19015,5647,NA,NA,7442,96,6193
19,19017,4234,NA,NA,7777,72,5526
19,19019,3816,NA,NA,6860,34,3452
19,19021,3232,NA,NA,4824,46,4372
19,19023,1816,NA,NA,3595,27,4678
19,19025,1401,NA,NA,2750,22,2649
19,19027,4023,NA,NA,6597,67,4410
19,19029,1633,NA,NA,3288,26,5095
19,19031,3335,NA,NA,4883,69,4041
19,19033,9629,NA,NA,13524,80,8807
19,19035,1729,NA,NA,3027,26,3939
19,19037,2718,NA,NA,3714,27,2597
19,19039,1663,NA,NA,2452,22,1976
19,19041,2230,NA,NA,3967,35,6054
19,19043,3646,NA,NA,4833,36,3678
19,19045,11155,NA,NA,14740,115,8216
19,19047,2678,NA,NA,3861,25,3474
19,19049,13706,NA,NA,21949,277,21218
19,19051,1851,NA,NA,1554,13,1817
19,19053,1522,NA,NA,1517,21,1848
19,19055,2477,NA,NA,4750,27,4561
19,19057,11500,NA,NA,9763,132,7122
19,19059,2613,NA,NA,4972,48,5735
19,19061,28054,NA,NA,23723,349,17438
19,19063,2057,NA,NA,3343,16,1988
19,19065,3739,NA,NA,4495,46,4204
19,19067,3218,NA,NA,5049,31,2874
19,19069,1280,NA,NA,2315,14,3284
19,19071,1172,NA,NA,1829,16,2437
19,19073,1727,NA,NA,2469,33,2571
19,19075,1493,NA,NA,3285,26,4251
19,19077,1788,NA,NA,3264,33,2943
19,19079,2525,NA,NA,3757,39,4196
19,19081,1597,NA,NA,3032,22,3437
19,19083,2789,NA,NA,4271,48,4923
19,19085,2144,NA,NA,2496,45,3830
19,19087,3193,NA,NA,5678,51,5541
19,19089,1882,NA,NA,2945,13,1544
19,19091,1308,NA,NA,2593,12,2793
19,19093,860,NA,NA,1878,16,2396
19,19095,2840,NA,NA,5226,47,4205
19,19097,5400,NA,NA,6199,36,3372
19,19099,9019,NA,NA,9386,72,7798
19,19101,4286,NA,NA,3453,99,3555
19,19103,51105,NA,NA,36360,989,22799
19,19105,3373,NA,NA,6344,31,3940
19,19107,2098,NA,NA,2486,15,2470
19,19109,3150,NA,NA,4534,25,3626
19,19111,10153,NA,NA,9109,108,4784
19,19113,55858,NA,NA,55822,1195,41531
19,19115,1859,NA,NA,2953,20,2651
19,19117,1388,NA,NA,2178,13,2421
19,19119,973,NA,NA,1860,13,5675
19,19121,2880,NA,NA,4097,43,4562
19,19123,2928,NA,NA,4805,73,7190
19,19125,5795,NA,NA,8406,87,10221
19,19127,7947,NA,NA,9912,84,8171
19,19129,2218,NA,NA,3444,69,5403
19,19131,1787,NA,NA,2961,11,2633
19,19133,1861,NA,NA,2379,19,2205
19,19135,1649,NA,NA,1634,14,1790
19,19137,1144,NA,NA,2409,16,3850
19,19139,8847,NA,NA,11383,117,8904
19,19141,1320,NA,NA,2703,32,6004
19,19143,513,NA,NA,1252,8,2639
19,19145,1662,NA,NA,3337,40,5476
19,19147,2168,NA,NA,2401,16,1886
19,19149,3378,NA,NA,5932,73,8766
19,19151,1027,NA,NA,2086,19,2147
19,19153,119464,NA,NA,90231,2347,91257
19,19155,17655,NA,NA,22358,479,22967
19,19157,5091,NA,NA,5488,62,3934
19,19159,892,NA,NA,809,5,1596
19,19161,1364,NA,NA,2724,16,3302
19,19163,40919,NA,NA,50771,811,35512
19,19165,1852,NA,NA,2692,20,3707
19,19167,1831,NA,NA,4200,59,15758
19,19169,22288,NA,NA,25913,756,20086
19,19171,3325,NA,NA,5023,28,3528
19,19173,777,NA,NA,1438,17,2036
19,19175,1810,NA,NA,3445,22,2882
19,19177,1079,NA,NA,1769,24,2256
19,19179,9233,NA,NA,7725,90,5806
19,19181,10393,NA,NA,12243,149,12389
19,19183,3203,NA,NA,5416,99,6442
19,19185,995,NA,NA,1265,10,1516
19,19187,8779,NA,NA,9710,105,7349
19,19189,1696,NA,NA,3155,18,3021
19,19191,4401,NA,NA,5600,48,4633
19,19193,19907,NA,NA,20957,297,21830
