Story,"19,916","18,336","22,325",680,"61,257","2,372","1,750","3,588",76,"7,786"
Tama,"3,166","3,407","4,621",26,"11,220",159,121,402,2,684
Taylor,700,"1,922","1,218",17,"3,857",77,114,220,0,411
Union,"1,727","2,782","3,211",21,"7,741",83,100,234,1,418
Van Buren,"1,011","2,150","1,592",22,"4,775",68,106,177,2,353
Wapello,"8,542","5,445","6,863",87,"20,937",691,361,862,3,"1,917"
Warren,"9,821","11,795","11,254",144,"33,014",572,594,989,5,"2,160"
Washington,"3,042","6,219","4,997",95,"14,353",161,223,419,4,807
Wayne,944,"1,438","1,185",10,"3,577",51,78,80,0,209
Webster,"8,116","6,886","8,648",97,"23,747",663,463,"1,062",8,"2,196"
Winnebago,"1,531","2,887","2,884",18,"7,320",165,134,271,0,570
Winneshiek,"4,201","4,517","5,260",48,"14,026",200,116,340,0,656
Woodbury,"18,247","20,626","18,770",273,"57,916","1,660","1,204","2,187",24,"5,075"
Worth,"1,382","1,988","1,961",5,"5,336",116,71,251,3,441
Wright,"1,877","3,450","2,614",25,"7,966",149,209,305,4,667
