CID,STATE,COUNTY,PBUSH,PGORE,PNADER,POTHER,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE
707,Illinois,Winnebago,.4924,.4756,.0241,.0079,53816,51981,2637,345,459,8,.,51,.,.,.,.,.,.,.,.,.
708,Illinois,Woodford,.6494,.3292,.0157,.0057,10905,5529,263,59,34,.,.,3,.,.,.,.,.,.,.,.,.
709,Indiana,Adams,.6795,.2998,.0036,.0171,8555,3775,45,146,69,.,.,.,.,.,.,.,.,.,.,.,.
710,Indiana,Allen,.6160,.3642,.0049,.0149,70426,41636,556,949,744,5,.,4,.,.,.,.,.,.,.,.,.
711,Indiana,Bartholomew,.6287,.3498,.0070,.0145,16200,9015,181,206,166,.,.,.,1,.,.,.,.,.,.,.,.
712,Indiana,Benton,.6301,.3428,.0052,.0219,2441,1328,20,46,39,.,.,.,.,.,.,.,.,.,.,.,.
713,Indiana,Blackford,.5516,.4298,.0037,.0149,2699,2103,18,42,31,.,.,.,.,.,.,.,.,.,.,.,.
714,Indiana,Boone,.7154,.2589,.0107,.0150,13161,4763,196,113,163,.,.,.,.,.,.,.,.,.,.,.,.
715,Indiana,Brown,.5678,.3826,.0308,.0188,3871,2608,210,68,53,3,2,2,.,.,.,.,.,.,.,.,.
716,Indiana,Carroll,.6171,.3586,.0105,.0138,5102,2965,87,67,42,5,.,.,.,.,.,.,.,.,.,.,.
717,Indiana,Cass,.6160,.3583,.0000,.0258,9305,5412,.,164,190,.,.,35,.,.,.,.,.,.,.,.,.
718,Indiana,Clark,.5201,.4650,.0057,.0093,19417,17360,212,205,140,.,.,2,.,.,.,.,.,.,.,.,.
719,Indiana,Clay,.6294,.3549,.0019,.0139,6393,3605,19,85,56,.,.,.,.,.,.,.,.,.,.,.,.
720,Indiana,Clinton,.6497,.3315,.0036,.0152,7141,3643,40,91,75,1,.,.,.,.,.,.,.,.,.,.,.
721,Indiana,Crawford,.5529,.4317,.0040,.0114,2327,1817,17,33,15,.,.,.,.,.,.,.,.,.,.,.,.
722,Indiana,Daviess,.7040,.2763,.0050,.0147,6872,2697,49,91,52,.,.,.,.,.,.,.,.,.,.,.,.
723,Indiana,Dearborn,.6488,.3411,.0000,.0101,11452,6020,.,95,83,.,.,.,.,.,.,.,.,.,.,.,.
724,Indiana,Decatur,.6668,.3150,.0012,.0170,6115,2889,11,100,54,.,.,2,.,.,.,.,.,.,.,.,.
725,Indiana,Dekalb,.6312,.3465,.0052,.0172,8701,4776,71,148,88,1,.,.,.,.,.,.,.,.,.,.,.
726,Indiana,Delaware,.5007,.4729,.0087,.0177,22105,20876,386,417,350,2,.,11,.,.,.,.,.,.,.,.,.
727,Indiana,Dubois,.6536,.3283,.0027,.0154,10134,5090,42,129,109,.,.,.,.,.,.,.,.,.,.,.,.
728,Indiana,Elkhart,.6746,.3011,.0118,.0125,36756,16402,642,385,277,11,1,6,2,.,.,.,.,.,.,.,.
729,Indiana,Fayette,.5852,.3949,.0036,.0163,5060,3415,31,98,42,1,.,.,.,.,.,.,.,.,.,.,.
730,Indiana,Floyd,.5490,.4399,.0017,.0094,16486,13209,52,154,129,.,.,.,.,.,.,.,.,.,.,.,.
731,Indiana,Fountain,.6054,.3732,.0025,.0190,4408,2717,18,100,38,.,.,.,.,.,.,.,.,.,.,.,.
732,Indiana,Franklin,.6700,.3107,.0030,.0163,5587,2591,25,86,49,.,.,1,.,.,.,.,.,.,.,.,.
733,Indiana,Fulton,.6266,.3555,.0044,.0135,5218,2960,37,85,27,.,.,.,.,.,.,.,.,.,.,.,.
734,Indiana,Gibson,.5616,.4213,.0056,.0115,7734,5802,77,97,60,2,.,.,.,.,.,.,.,.,.,.,.
735,Indiana,Grant,.6122,.3681,.0032,.0166,16153,9712,84,261,166,9,.,1,.,.,.,.,.,.,.,.,.
736,Indiana,Greene,.5905,.3881,.0045,.0168,7452,4898,57,102,110,.,.,.,.,.,.,.,.,.,.,.,.
737,Indiana,Hamilton,.7425,.2371,.0088,.0116,56372,18002,669,312,553,9,2,7,.,.,.,.,.,.,.,.,.
738,Indiana,Hancock,.6947,.2834,.0055,.0165,15943,6503,126,176,194,4,2,1,1,.,.,.,.,.,.,.,.
739,Indiana,Harrison,.5848,.3941,.0068,.0144,8711,5870,101,131,82,1,.,.,.,.,.,.,.,.,.,.,.
740,Indiana,Hendricks,.7123,.2682,.0041,.0154,28651,10786,164,316,302,1,.,.,1,.,.,.,.,.,.,.,.
741,Indiana,Henry,.5635,.4175,.0005,.0185,10321,7647,9,213,125,.,.,.,.,.,.,.,.,.,.,.,.
742,Indiana,Howard,.5963,.3783,.0101,.0153,20331,12899,343,289,221,6,.,6,.,.,.,.,.,.,.,.,.
743,Indiana,Huntington,.6917,.2817,.0111,.0155,10113,4119,162,124,102,.,.,.,.,.,.,.,.,.,.,.,.
744,Indiana,Jackson,.6201,.3650,.0018,.0131,9054,5330,27,133,55,2,.,1,.,.,.,.,.,.,.,.,.
745,Indiana,Jasper,.6458,.3353,.0064,.0125,7212,3744,71,68,67,3,.,2,.,.,.,.,.,.,.,.,.
746,Indiana,Jay,.5837,.3944,.0019,.0200,4687,3167,15,96,65,.,.,.,.,.,.,.,.,.,.,.,.
747,Indiana,Jefferson,.5517,.4289,.0070,.0124,6582,5117,84,89,54,4,.,1,.,.,.,.,.,.,.,.,.
748,Indiana,Jennings,.6037,.3738,.0050,.0175,5732,3549,47,107,59,.,.,.,.,.,.,.,.,.,.,.,.
749,Indiana,Johnson,.6954,.2827,.0042,.0177,29404,11952,178,382,364,.,.,4,.,.,.,.,.,.,.,.,.
750,Indiana,Knox,.5636,.4185,.0050,.0128,8485,6300,76,100,93,.,.,.,.,.,.,.,.,.,.,.,.
751,Indiana,Kosciusko,.7530,.2288,.0036,.0145,19040,5785,92,182,183,2,.,.,.,.,.,.,.,.,.,.,.
752,Indiana,LaGrange,.6525,.3280,.0061,.0134,5437,2733,51,74,30,6,.,2,.,.,.,.,.,.,.,.,.
753,Indiana,Lake,.3602,.6198,.0094,.0106,63389,109078,1659,1131,732,5,.,.,.,.,.,.,.,.,.,.,.
754,Indiana,LaPorte,.4779,.4965,.0104,.0152,18994,19736,413,371,225,2,.,4,2,.,.,.,.,.,.,.,.
755,Indiana,Lawrence,.6614,.3141,.0063,.0182,10677,5071,101,183,109,1,.,.,.,.,.,.,.,.,.,.,.
756,Indiana,Madison,.5354,.4482,.0000,.0164,27956,23403,.,531,326,.,.,.,.,.,.,.,.,.,.,.,.
757,Indiana,Marion,.4923,.4794,.0106,.0176,137810,134189,2967,1413,3319,68,40,70,27,.,.,.,.,.,.,.,.
758,Indiana,Marshall,.6357,.3431,.0067,.0145,10266,5541,109,164,69,.,.,1,.,.,.,.,.,.,.,.,.
759,Indiana,Martin,.6526,.3294,.0030,.0150,3008,1518,14,44,25,.,.,.,.,.,.,.,.,.,.,.,.
760,Indiana,Miami,.6498,.3214,.0034,.0254,8401,4155,44,198,130,.,.,.,.,.,.,.,.,.,.,.,.
761,Indiana,Monroe,.4761,.4357,.0744,.0139,19147,17523,2991,141,404,2,3,4,5,.,.,.,.,.,.,.,.
762,Indiana,Montgomery,.6787,.2976,.0101,.0137,8891,3899,132,100,79,.,.,.,.,.,.,.,.,.,.,.,.
763,Indiana,Morgan,.6937,.2826,.0069,.0168,15286,6228,151,196,174,.,1,.,.,.,.,.,.,.,.,.,.
764,Indiana,Newton,.5898,.3813,.0051,.0238,3250,2101,28,87,44,.,.,.,.,.,.,.,.,.,.,.,.
765,Indiana,Noble,.6403,.3392,.0046,.0158,9103,4822,66,137,86,1,1,.,.,.,.,.,.,.,.,.,.
766,Indiana,Ohio,.6079,.3816,.0024,.0080,1515,951,6,9,11,.,.,.,.,.,.,.,.,.,.,.,.
767,Indiana,Orange,.6285,.3488,.0062,.0166,4687,2601,46,75,49,.,.,.,.,.,.,.,.,.,.,.,.
768,Indiana,Owen,.6180,.3465,.0131,.0225,4019,2253,85,68,77,.,.,1,.,.,.,.,.,.,.,.,.
769,Indiana,Parke,.5958,.3848,.0031,.0163,3841,2481,20,61,44,.,.,.,.,.,.,.,.,.,.,.,.
770,Indiana,Perry,.4685,.5175,.0035,.0104,3461,3823,26,37,40,.,.,.,.,.,.,.,.,.,.,.,.
771,Indiana,Pike,.5659,.4134,.0005,.0203,3566,2605,3,88,40,.,.,.,.,.,.,.,.,.,.,.,.
772,Indiana,Porter,.5247,.4512,.0100,.0141,31157,26790,592,510,322,2,.,5,.,.,.,.,.,.,.,.,.
773,Indiana,Posey,.5849,.3987,.0047,.0117,6498,4430,52,85,45,.,.,.,.,.,.,.,.,.,.,.,.
774,Indiana,Pulaski,.6337,.3478,.0031,.0154,3497,1919,17,47,38,.,.,.,.,.,.,.,.,.,.,.,.
775,Indiana,Putnam,.6193,.3473,.0121,.0212,7352,4123,144,148,97,3,.,4,.,.,.,.,.,.,.,.,.
776,Indiana,Randolph,.5942,.3855,.0020,.0184,6020,3906,20,126,60,.,.,.,.,.,.,.,.,.,.,.,.
777,Indiana,Ripley,.6546,.3277,.0022,.0156,6988,3498,23,110,56,.,.,.,.,.,.,.,.,.,.,.,.
778,Indiana,Rush,.6520,.3254,.0029,.0198,4749,2370,21,78,66,.,.,.,.,.,.,.,.,.,.,.,.
779,Indiana,St. Joseph,.4881,.4894,.0093,.0132,47581,47703,905,611,665,6,2,1,.,.,.,.,.,.,.,.,.
780,Indiana,Scott,.4794,.4990,.0051,.0166,3761,3915,40,87,43,.,.,.,.,.,.,.,.,.,.,.,.
781,Indiana,Shelby,.6264,.3510,.0046,.0180,9590,5374,71,138,133,3,.,1,.,.,.,.,.,.,.,.,.
782,Indiana,Spencer,.5670,.4175,.0047,.0108,5096,3752,42,66,30,1,.,.,.,.,.,.,.,.,.,.,.
783,Indiana,Starke,.4998,.4753,.0031,.0217,4349,4136,27,109,80,.,.,.,.,.,.,.,.,.,.,.,.
784,Indiana,Steuben,.6166,.3638,.0035,.0161,6953,4103,40,94,86,1,.,.,.,.,.,.,.,.,.,.,.
785,Indiana,Sullivan,.5228,.4639,.0005,.0128,4319,3833,4,51,55,.,.,.,.,.,.,.,.,.,.,.,.
786,Indiana,Switzerland,.5653,.4125,.0046,.0176,1831,1336,15,34,21,2,.,.,.,.,.,.,.,.,.,.,.
787,Indiana,Tippecanoe,.5639,.3936,.0228,.0198,26106,18220,1054,404,491,7,2,9,2,.,.,.,.,.,.,.,.
788,Indiana,Tipton,.6539,.3270,.0008,.0183,4784,2392,6,81,53,.,.,.,.,.,.,.,.,.,.,.,.
789,Indiana,Union,.6499,.3278,.0039,.0184,1838,927,11,30,21,.,.,1,.,.,.,.,.,.,.,.,.
790,Indiana,Vanderburgh,.5413,.4413,.0058,.0117,35846,29222,381,433,336,1,.,1,1,.,.,.,.,.,.,.,.
791,Indiana,Vermillion,.4719,.5081,.0020,.0181,3130,3370,13,76,44,.,.,.,.,.,.,.,.,.,.,.,.
792,Indiana,Vigo,.4974,.4850,.0044,.0132,18021,17570,158,232,240,3,.,4,.,.,.,.,.,.,.,.,.
793,Indiana,Wabash,.6459,.3320,.0097,.0124,8321,4277,125,113,46,.,.,.,1,.,.,.,.,.,.,.,.
794,Indiana,Warren,.5886,.3904,.0056,.0154,2218,1471,21,38,19,1,.,.,.,.,.,.,.,.,.,.,.
795,Indiana,Warrick,.5919,.3922,.0047,.0112,13205,8749,105,146,101,.,.,3,.,.,.,.,.,.,.,.,.
796,Indiana,Washington,.5987,.3750,.0053,.0210,5868,3675,52,126,78,1,.,1,.,.,.,.,.,.,.,.,.
797,Indiana,Wayne,.5675,.4085,.0083,.0157,14273,10273,209,244,150,2,.,.,.,.,.,.,.,.,.,.,.
798,Indiana,Wells,.6874,.2942,.0027,.0157,7755,3319,30,121,49,7,.,.,.,.,.,.,.,.,.,.,.
799,Indiana,White,.6096,.3690,.0039,.0175,6037,3655,39,104,69,.,.,.,.,.,.,.,.,.,.,.,.
800,Indiana,Whitley,.6499,.3304,.0024,.0173,8080,4107,30,128,87,.,.,.,.,.,.,.,.,.,.,.,.
801,Iowa,Adair,.5518,.4252,.0160,.0070,2275,1753,66,14,4,3,2,5,1,.,.,.,.,.,.,.,.
802,Iowa,Adams,.5455,.4182,.0238,.0126,1170,897,51,16,4,.,2,3,1,1,.,.,.,.,.,.,.
803,Iowa,Allamakee,.5071,.4461,.0308,.0159,3277,2883,199,68,13,4,7,8,1,2,.,.,.,.,.,.,.
804,Iowa,Appanoose,.5245,.4488,.0184,.0082,2992,2560,105,18,15,7,2,3,.,2,.,.,.,.,.,.,.
805,Iowa,Audubon,.5045,.4704,.0148,.0103,1909,1780,56,23,6,2,5,3,.,.,.,.,.,.,.,.,.
806,Iowa,Benton,.4647,.5027,.0196,.0129,5468,5915,231,95,25,3,12,13,2,2,.,.,.,.,.,.,.
807,Iowa,Black Hawk,.4260,.5466,.0206,.0068,23468,30112,1132,163,107,19,61,21,.,2,.,.,.,.,.,.,.
808,Iowa,Boone,.4592,.5119,.0206,.0083,5625,6270,252,46,15,14,17,9,.,1,.,.,.,.,.,.,.
809,Iowa,Bremer,.5078,.4626,.0233,.0064,5675,5169,260,28,17,3,14,7,2,.,.,.,.,.,.,.,.
810,Iowa,Buchanan,.4349,.5361,.0182,.0108,4092,5045,171,52,19,7,8,11,2,3,.,.,.,.,.,.,.
811,Iowa,Buena Vista,.5458,.4133,.0285,.0124,4354,3297,227,59,15,8,4,7,1,5,.,.,.,.,.,.,.
812,Iowa,Butler,.5706,.4068,.0168,.0058,3837,2735,113,12,11,1,4,9,.,2,.,.,.,.,.,.,.
813,Iowa,Calhoun,.5507,.4229,.0184,.0079,2776,2132,93,18,12,6,2,2,.,.,.,.,.,.,.,.,.
814,Iowa,Carroll,.5099,.4665,.0153,.0084,4879,4463,146,46,11,5,8,9,1,.,.,.,.,.,.,.,.
815,Iowa,Cass,.6113,.3606,.0214,.0067,4206,2481,147,22,9,1,8,5,.,1,.,.,.,.,.,.,.
816,Iowa,Cedar,.4831,.4833,.0254,.0081,4031,4033,212,32,16,.,9,11,.,.,.,.,.,.,.,.,.
817,Iowa,Cerro Gordo,.4240,.5498,.0184,.0078,9397,12185,408,77,42,4,20,23,2,4,.,.,.,.,.,.,.
818,Iowa,Cherokee,.5253,.4316,.0243,.0188,3463,2845,160,83,10,7,9,12,2,1,.,.,.,.,.,.,.
819,Iowa,Chickasaw,.4459,.5217,.0220,.0103,2936,3435,145,40,8,3,3,13,.,1,.,.,.,.,.,.,.
820,Iowa,Clarke,.4751,.4983,.0180,.0086,1984,2081,75,22,6,2,3,2,1,.,.,.,.,.,.,.,.
821,Iowa,Clay,.5268,.4347,.0219,.0166,3992,3294,166,51,20,4,9,33,2,7,.,.,.,.,.,.,.
822,Iowa,Clayton,.4707,.4945,.0240,.0109,4034,4238,206,58,18,2,3,11,.,1,.,.,.,.,.,.,.
823,Iowa,Clinton,.4161,.5535,.0212,.0092,9229,12276,471,113,65,4,4,17,1,.,.,.,.,.,.,.,.
824,Iowa,Crawford,.5312,.4330,.0223,.0136,3482,2838,146,53,26,4,.,6,.,.,.,.,.,.,.,.,.
825,Iowa,Dallas,.5332,.4429,.0166,.0074,10306,8561,320,63,29,8,26,13,.,4,.,.,.,.,.,.,.
826,Iowa,Davis,.5205,.4500,.0178,.0117,1956,1691,67,19,8,8,3,6,.,.,.,.,.,.,.,.,.
827,Iowa,Decatur,.5131,.4513,.0253,.0102,1903,1674,94,13,13,4,.,8,.,.,.,.,.,.,.,.,.
828,Iowa,Delaware,.5118,.4561,.0193,.0128,4273,3808,161,44,50,1,2,8,.,2,.,.,.,.,.,.,.
829,Iowa,Des Moines,.3814,.5862,.0211,.0114,7385,11351,409,121,50,8,17,20,1,3,.,.,.,.,.,.,.
830,Iowa,Dickinson,.5203,.4507,.0208,.0083,4225,3660,169,35,14,1,12,3,.,2,.,.,.,.,.,.,.
831,Iowa,Dubuque,.4083,.5541,.0245,.0132,16462,22341,987,298,154,14,23,35,3,6,.,.,.,.,.,.,.
832,Iowa,Emmet,.5035,.4676,.0212,.0078,2331,2165,98,19,7,1,4,4,.,1,.,.,.,.,.,.,.
833,Iowa,Fayette,.4934,.4823,.0181,.0062,4747,4640,174,28,17,3,3,7,1,1,.,.,.,.,.,.,.
834,Iowa,Floyd,.4409,.5292,.0213,.0087,3191,3830,154,33,15,2,6,7,.,.,.,.,.,.,.,.,.
835,Iowa,Franklin,.5381,.4297,.0223,.0099,2657,2122,110,16,17,3,4,8,.,1,.,.,.,.,.,.,.
836,Iowa,Fremont,.5722,.4035,.0174,.0069,2069,1459,63,9,6,3,3,3,.,1,.,.,.,.,.,.,.
837,Iowa,Greene,.4836,.4876,.0225,.0064,2282,2301,106,16,7,2,.,4,.,1,.,.,.,.,.,.,.
838,Iowa,Grundy,.6302,.3500,.0115,.0083,3851,2139,70,16,14,7,10,3,.,1,.,.,.,.,.,.,.
839,Iowa,Guthrie,.5193,.4558,.0157,.0091,2840,2493,86,21,17,3,3,5,1,.,.,.,.,.,.,.,.
840,Iowa,Hamilton,.5239,.4498,.0186,.0077,3968,3407,141,28,16,6,5,1,1,1,.,.,.,.,.,.,.
841,Iowa,Hancock,.5495,.4195,.0226,.0085,2988,2281,123,23,6,5,2,10,.,.,.,.,.,.,.,.,.
842,Iowa,Hardin,.5318,.4427,.0167,.0088,4486,3734,141,32,19,4,6,12,.,1,.,.,.,.,.,.,.
843,Iowa,Harrison,.5811,.3899,.0193,.0098,3802,2551,126,33,11,6,6,7,1,.,.,.,.,.,.,.,.
844,Iowa,Henry,.5162,.4506,.0211,.0121,4476,3907,183,46,21,1,16,19,1,1,.,.,.,.,.,.,.
845,Iowa,Howard,.4280,.5402,.0223,.0096,1922,2426,100,31,3,1,5,3,.,.,.,.,.,.,.,.,.
846,Iowa,Humboldt,.5761,.3945,.0202,.0091,2846,1949,100,23,13,.,6,3,.,.,.,.,.,.,.,.,.
847,Iowa,Ida,.5637,.4042,.0166,.0155,1968,1411,58,36,16,.,.,1,.,1,.,.,.,.,.,.,.
848,Iowa,Iowa,.5253,.4357,.0254,.0136,3894,3230,188,58,17,6,5,13,1,1,.,.,.,.,.,.,.
849,Iowa,Jackson,.4173,.5475,.0251,.0101,3769,4945,227,51,15,4,14,6,.,1,.,.,.,.,.,.,.
850,Iowa,Jasper,.4894,.4877,.0150,.0078,8729,8699,267,71,40,7,6,14,1,1,.,.,.,.,.,.,.
851,Iowa,Jefferson,.4303,.3793,.0273,.1631,3248,2863,206,45,57,5,14,1109,.,1,.,.,.,.,.,.,.
852,Iowa,Johnson,.3392,.5908,.0616,.0085,17899,31174,3248,103,205,14,61,50,10,5,.,.,.,.,.,.,.
853,Iowa,Jones,.4595,.5130,.0213,.0062,4201,4690,195,28,10,3,8,8,.,.,.,.,.,.,.,.,.
854,Iowa,Keokuk,.5197,.4409,.0200,.0194,2571,2181,99,24,58,1,2,4,3,4,.,.,.,.,.,.,.
855,Iowa,Kossuth,.5195,.4460,.0232,.0113,4612,3960,206,42,23,1,16,16,.,2,.,.,.,.,.,.,.
856,Iowa,Lee,.3825,.5812,.0196,.0167,6339,9632,325,81,149,3,17,19,5,2,.,.,.,.,.,.,.
857,Iowa,Linn,.4390,.5311,.0229,.0070,40417,48897,2106,254,179,18,101,69,10,13,.,.,.,.,.,.,.
858,Iowa,Louisa,.4760,.4947,.0183,.0110,2207,2294,85,32,5,2,4,7,.,1,.,.,.,.,.,.,.
859,Iowa,Lucas,.5257,.4495,.0151,.0098,2262,1934,65,19,8,4,3,6,1,1,.,.,.,.,.,.,.
860,Iowa,Lyon,.7334,.2458,.0127,.0080,3918,1313,68,26,7,7,.,2,1,.,.,.,.,.,.,.,.
861,Iowa,Madison,.5255,.4438,.0184,.0123,3662,3093,128,40,12,7,13,13,1,.,.,.,.,.,.,.,.
862,Iowa,Mahaska,.6257,.3531,.0150,.0062,5971,3370,143,24,20,5,3,4,1,2,.,.,.,.,.,.,.
863,Iowa,Marion,.5801,.3985,.0144,.0070,8358,5741,208,41,13,3,8,31,1,4,.,.,.,.,.,.,.
864,Iowa,Marshall,.4985,.4722,.0193,.0100,8785,8322,340,75,33,7,27,30,2,3,.,.,.,.,.,.,.
865,Iowa,Mills,.6228,.3447,.0213,.0112,3684,2039,126,25,19,4,8,9,1,.,.,.,.,.,.,.,.
866,Iowa,Mitchell,.4626,.5134,.0169,.0072,2388,2650,87,25,3,2,2,5,.,.,.,.,.,.,.,.,.
867,Iowa,Monona,.5053,.4575,.0204,.0169,2304,2086,93,52,10,4,5,6,.,.,.,.,.,.,.,.,.
868,Iowa,Monroe,.5095,.4659,.0148,.0099,1858,1699,54,22,6,2,3,3,.,.,.,.,.,.,.,.,.
869,Iowa,Montgomery,.6335,.3407,.0158,.0100,3417,1838,85,20,15,.,8,11,.,.,.,.,.,.,.,.,.
870,Iowa,Muscatine,.4655,.5012,.0231,.0102,7483,8058,371,82,40,7,19,10,1,5,.,.,.,.,.,.,.
871,Iowa,O'Brien,.6635,.3081,.0153,.0131,4674,2170,108,53,14,2,9,7,2,5,.,.,.,.,.,.,.
872,Iowa,Osceola,.6738,.2981,.0183,.0098,2064,913,56,14,5,10,.,1,.,.,.,.,.,.,.,.,.
873,Iowa,Page,.6500,.3248,.0177,.0075,4588,2293,125,21,11,1,8,11,1,.,.,.,.,.,.,.,.
874,Iowa,Palo Alto,.4854,.4823,.0168,.0156,2341,2326,81,36,29,1,.,6,.,3,.,.,.,.,.,.,.
875,Iowa,Plymouth,.6117,.3458,.0196,.0229,6189,3499,198,145,29,6,5,31,9,7,.,.,.,.,.,.,.
876,Iowa,Pocahontas,.5414,.4192,.0188,.0205,2242,1736,78,48,23,2,7,5,.,.,.,.,.,.,.,.,.
877,Iowa,Polk,.4589,.5151,.0193,.0067,79927,89715,3366,416,403,94,154,65,5,22,.,.,.,.,.,.,.
878,Iowa,Pottawattamie,.5450,.4272,.0200,.0078,18783,14726,690,122,70,17,32,22,1,4,.,.,.,.,.,.,.
879,Iowa,Poweshiek,.4895,.4702,.0320,.0084,4396,4222,287,34,20,4,8,5,4,.,.,.,.,.,.,.,.
880,Iowa,Ringgold,.5085,.4629,.0175,.0111,1369,1246,47,10,5,1,7,5,2,.,.,.,.,.,.,.,.
881,Iowa,Sac,.5516,.4170,.0193,.0121,2776,2099,97,46,7,1,.,5,.,2,.,.,.,.,.,.,.
882,Iowa,Scott,.4648,.5081,.0196,.0074,32801,35857,1386,247,153,26,40,50,1,7,.,.,.,.,.,.,.
883,Iowa,Shelby,.6083,.3626,.0188,.0103,3655,2179,113,36,7,3,6,7,1,2,.,.,.,.,.,.,.
884,Iowa,Sioux,.8332,.1462,.0106,.0100,12241,2148,156,83,35,21,2,4,1,1,.,.,.,.,.,.,.
885,Iowa,Story,.4589,.4942,.0372,.0096,16228,17478,1317,91,139,14,52,37,3,5,.,.,.,.,.,.,.
886,Iowa,Tama,.4851,.4865,.0192,.0091,4034,4045,160,32,23,1,12,8,.,.,.,.,.,.,.,.,.
887,Iowa,Taylor,.5717,.4028,.0149,.0107,1770,1247,46,13,5,2,2,10,1,.,.,.,.,.,.,.,.
888,Iowa,Union,.5232,.4425,.0188,.0155,3003,2540,108,45,8,8,4,17,2,5,.,.,.,.,.,.,.
889,Iowa,Van Buren,.5661,.4044,.0143,.0152,2016,1440,51,35,5,4,3,6,.,1,.,.,.,.,.,.,.
890,Iowa,Wapello,.4170,.5519,.0209,.0102,6313,8355,317,62,47,9,13,20,2,1,.,.,.,.,.,.,.
891,Iowa,Warren,.4895,.4845,.0189,.0071,9621,9521,371,54,38,22,13,10,.,3,.,.,.,.,.,.,.
892,Iowa,Washington,.5308,.4324,.0269,.0099,4827,3932,245,41,26,7,4,11,.,1,.,.,.,.,.,.,.
893,Iowa,Wayne,.5515,.4303,.0103,.0079,1666,1300,31,13,5,3,1,1,.,1,.,.,.,.,.,.,.
894,Iowa,Webster,.4794,.4974,.0165,.0067,8172,8479,282,68,18,8,9,10,.,2,.,.,.,.,.,.,.
895,Iowa,Winnebago,.4816,.4869,.0208,.0107,2662,2691,115,27,17,1,6,5,1,2,.,.,.,.,.,.,.
896,Iowa,Winneshiek,.4935,.4608,.0364,.0093,4647,4339,343,42,12,3,11,18,1,1,.,.,.,.,.,.,.
897,Iowa,Woodbury,.4978,.4668,.0212,.0142,18864,17691,804,406,76,19,23,7,2,4,.,.,.,.,.,.,.
898,Iowa,Worth,.4143,.5514,.0227,.0115,1659,2208,91,18,9,.,9,10,.,.,.,.,.,.,.,.,.
899,Iowa,Wright,.5341,.4413,.0169,.0077,3384,2796,107,21,9,3,3,9,1,3,.,.,.,.,.,.,.
900,Kansas,Allen,.5860,.3698,.0284,.0158,3379,2132,164,46,21,16,.,8,.,.,.,.,.,.,.,.,.
901,Kansas,Anderson,.5704,.3815,.0270,.0210,1984,1327,94,47,12,7,.,7,.,.,.,.,.,.,.,.,.
902,Kansas,Atchison,.4896,.4596,.0338,.0171,3378,3171,233,56,44,9,.,9,.,.,.,.,.,.,.,.,.
903,Kansas,Barber,.7026,.2550,.0292,.0132,1755,637,73,22,3,4,.,4,.,.,.,.,.,.,.,.,.
904,Kansas,Barton,.6665,.2956,.0229,.0150,7302,3238,251,100,43,11,.,10,.,.,.,.,.,.,.,.,.
905,Kansas,Bourbon,.6107,.3505,.0252,.0136,3852,2211,159,46,27,10,.,3,.,.,.,.,.,.,.,.,.
906,Kansas,Brown,.6363,.3223,.0256,.0158,2985,1512,120,47,14,9,.,4,.,.,.,.,.,.,.,.,.
907,Kansas,Butler,.6369,.3216,.0237,.0178,13377,6755,497,175,102,40,.,56,.,.,.,.,.,.,.,.,.
908,Kansas,Chase,.6439,.2969,.0425,.0167,848,391,56,14,7,1,.,.,.,.,.,.,.,.,.,.,.
909,Kansas,Chautauqua,.7165,.2356,.0191,.0287,1347,443,36,40,9,3,.,2,.,.,.,.,.,.,.,.,.
910,Kansas,Cherokee,.5492,.4143,.0246,.0118,5014,3783,225,42,37,13,.,16,.,.,.,.,.,.,.,.,.
911,Kansas,Cheyenne,.7597,.2027,.0272,.0104,1312,350,47,12,4,2,.,.,.,.,.,.,.,.,.,.,.
912,Kansas,Clark,.7343,.2316,.0270,.0071,926,292,34,7,1,1,.,.,.,.,.,.,.,.,.,.,.
913,Kansas,Clay,.7334,.2326,.0227,.0113,2998,951,93,29,14,2,.,1,.,.,.,.,.,.,.,.,.
914,Kansas,Cloud,.6480,.2918,.0466,.0135,2918,1314,210,36,20,3,.,2,.,.,.,.,.,.,.,.,.
915,Kansas,Coffey,.6683,.2960,.0238,.0119,2700,1196,96,21,15,8,.,4,.,.,.,.,.,.,.,.,.
916,Kansas,Comanche,.7555,.2097,.0179,.0169,760,211,18,12,1,4,.,.,.,.,.,.,.,.,.,.,.
917,Kansas,Cowley,.5686,.3895,.0293,.0126,8080,5535,416,92,46,17,.,24,.,.,.,.,.,.,.,.,.
918,Kansas,Crawford,.4763,.4707,.0419,.0112,7160,7076,630,87,45,19,.,17,.,.,.,.,.,.,.,.,.
919,Kansas,Decatur,.7135,.2410,.0290,.0165,1255,424,51,24,1,2,.,2,.,.,.,.,.,.,.,.,.
920,Kansas,Dickinson,.6479,.2982,.0398,.0141,5243,2413,322,74,25,8,.,7,.,.,.,.,.,.,.,.,.
921,Kansas,Doniphan,.6440,.3108,.0247,.0206,2350,1134,90,46,17,9,.,3,.,.,.,.,.,.,.,.,.
922,Kansas,Douglas,.4283,.4581,.1012,.0125,17062,18249,4031,147,277,22,.,50,.,.,.,.,.,.,.,.,.
