"","State","County","Year","Month","D","G","L","N","O","R","Total","dPct","rPct","leanD","leanR","unaffiliatedPct","otherPct","dDRPct","rDRPct","CountyName","StateName","StateAbbr","YearMonth"
"1","06",6001,"2004","11",410234,15342,3468,157370,23584,132260,742258,0.552683837695249,0.178186021572014,3.10172387721155,0.322401361174354,0.212015229206017,0.0317733187112837,0.756200068572187,0.243799931427813,"Alameda","California","CA","2004-11"
"2","06",6003,"2004","11",286,14,4,190,30,303,827,0.345828295042322,0.366384522370012,0.943894389438944,1.05944055944056,0.229746070133011,0.0362756952841596,0.485568760611205,0.514431239388795,"Alpine","California","CA","2004-11"
"3","06",6005,"2004","11",7230,159,132,2544,849,9561,20475,0.353113553113553,0.466959706959707,0.756197050517728,1.32240663900415,0.124249084249084,0.0414652014652015,0.43058781490084,0.56941218509916,"Amador","California","CA","2004-11"
"4","06",6007,"2004","11",42901,2605,851,21293,4847,50821,123318,0.347889197035307,0.412113397881899,0.844158910686527,1.18461108132678,0.172667412705363,0.0393048865534634,0.457747380550991,0.542252619449009,"Butte","California","CA","2004-11"
"5","06",6009,"2004","11",9480,344,343,3924,936,12305,27332,0.346846187618908,0.450204888043319,0.77041852905323,1.29799578059072,0.143567978925801,0.0342455729547783,0.435161808583888,0.564838191416112,"Calaveras","California","CA","2004-11"
"6","06",6011,"2004","11",2960,24,32,1020,236,3781,8053,0.367564882652428,0.469514466658388,0.782861676805078,1.27736486486487,0.126660871724823,0.0293058487520179,0.43910399050586,0.56089600949414,"Colusa","California","CA","2004-11"
"7","06",6013,"2004","11",243567,4779,2285,85892,14418,153564,504505,0.482784115122744,0.304385486764254,1.58609439712433,0.630479498454224,0.170250047075847,0.0285785076461086,0.613316512687249,0.386683487312751,"Contra Costa","California","CA","2004-11"
"8","06",6015,"2004","11",4809,127,88,2260,561,5015,12860,0.373950233281493,0.389968895800933,0.958923230309073,1.0428363485132,0.175738724727838,0.0436236391912908,0.489515472312704,0.510484527687296,"Del Norte","California","CA","2004-11"
"9","06",6017,"2004","11",32886,1191,737,17607,3855,49411,105687,0.311164097760368,0.467522022576097,0.665560300337981,1.50249346226358,0.166595702404269,0.0364756308722927,0.399601443552013,0.600398556447987,"El Dorado","California","CA","2004-11"
"10","06",6019,"2004","11",140400,1780,1169,37588,7187,164073,352197,0.398640533565022,0.465855756863346,0.855716662705015,1.16861111111111,0.106724361649872,0.0204061931248705,0.461124631740745,0.538875368259255,"Fresno","California","CA","2004-11"
"11","06",6021,"2004","11",3990,43,42,1748,389,5726,11938,0.334226838666443,0.479644831630089,0.696821515892421,1.43508771929825,0.146423186463394,0.0325850226168537,0.410662824207493,0.589337175792507,"Glenn","California","CA","2004-11"
"12","06",6023,"2004","11",35245,4877,753,16523,2735,24791,84924,0.415018133860864,0.291919834204701,1.42168528901618,0.703390551851326,0.194562196787716,0.0322052658847911,0.587064428009861,0.412935571990139,"Humboldt","California","CA","2004-11"
"13","06",6025,"2004","11",30334,132,173,7769,1500,14872,54780,0.553742241694049,0.2714859437751,2.03967186659494,0.490274939012329,0.141821832785688,0.0273822562979189,0.671017121621024,0.328982878378976,"Imperial","California","CA","2004-11"
"14","06",6027,"2004","11",3496,109,69,1664,401,4970,10709,0.326454384162854,0.464095620506116,0.703420523138833,1.42162471395881,0.15538332243907,0.0374451396022038,0.412945901252067,0.587054098747933,"Inyo","California","CA","2004-11"
"15","06",6029,"2004","11",105639,796,1380,35089,8582,143620,295106,0.357969678691724,0.486672585443874,0.735545188692383,1.35953577750641,0.118903038230331,0.0290810759523697,0.423812179299444,0.576187820700556,"Kern","California","CA","2004-11"
"16","06",6031,"2004","11",20266,127,148,5245,1540,24369,51695,0.39203017699971,0.471399555082697,0.83163035003488,1.20245731767492,0.101460489409034,0.029790115098172,0.454038310742691,0.545961689257309,"Kings","California","CA","2004-11"
"17","06",6033,"2004","11",14717,489,212,5853,1222,10934,33427,0.440272833338319,0.327100846620995,1.34598500091458,0.742950329550859,0.175097974691118,0.0365572740598917,0.573739815211883,0.426260184788117,"Lake","California","CA","2004-11"
"18","06",6035,"2004","11",4484,71,102,2634,736,6794,14821,0.302543688010256,0.458403616490115,0.659994112452164,1.51516503122212,0.177720801565346,0.0496592672559207,0.397588224862564,0.602411775137436,"Lassen","California","CA","2004-11"
"19","06",6037,"2004","11",2016280,27858,18952,706049,131984,1071615,3972738,0.507529064337996,0.269742177812884,1.88153394642665,0.531481242684548,0.177723524682473,0.0332224274543149,0.652962616928361,0.347037383071639,"Los Angeles","California","CA","2004-11"
"20","06",6039,"2004","11",17452,249,215,5970,1363,24748,49997,0.349060943656619,0.494989699381963,0.705188298044286,1.41806096722439,0.119407164429866,0.0272616356981419,0.413554502369668,0.586445497630332,"Madera","California","CA","2004-11"
"21","06",6041,"2004","11",78208,3726,839,30444,3647,35794,152658,0.512308559001166,0.234471825911515,2.18494719785439,0.457676963993453,0.199426168297764,0.0238900024892243,0.686023052227154,0.313976947772846,"Marin","California","CA","2004-11"
"22","06",6043,"2004","11",3654,156,80,1485,520,5340,11235,0.325233644859813,0.475300400534045,0.684269662921348,1.46141215106732,0.132176234979973,0.0462839341344014,0.406270847231488,0.593729152768512,"Mariposa","California","CA","2004-11"
"23","06",6045,"2004","11",23419,2525,389,9493,1983,12904,50713,0.461794806065506,0.254451521306174,1.81486360818351,0.551005593748666,0.187190661171692,0.0391023997791493,0.644743000302838,0.355256999697162,"Mendocino","California","CA","2004-11"
"24","06",6047,"2004","11",45149,312,252,9060,2027,42236,99036,0.455884728785492,0.426471182196373,1.06896959939388,0.935480298566967,0.0914818853750151,0.0204673048184499,0.516667620300967,0.483332379699033,"Merced","California","CA","2004-11"
"25","06",6049,"2004","11",1784,27,38,748,190,2738,5525,0.32289592760181,0.495565610859729,0.651570489408327,1.5347533632287,0.135384615384615,0.0343891402714932,0.394515701017249,0.605484298982751,"Modoc","California","CA","2004-11"
"26","06",6051,"2004","11",2208,147,74,1574,245,2724,6972,0.316695352839931,0.390705679862306,0.81057268722467,1.23369565217391,0.225760183591509,0.035140562248996,0.447688564476886,0.552311435523114,"Mono","California","CA","2004-11"
"27","06",6053,"2004","11",75757,1378,671,25177,3844,49406,156233,0.484897556854186,0.316232806129307,1.53335627251751,0.652164156447589,0.161150333156247,0.0246042769453317,0.605266732181236,0.394733267818764,"Monterey","California","CA","2004-11"
"28","06",6055,"2004","11",31819,1010,419,11357,2434,22212,69251,0.459473509407806,0.320746270811974,1.43251395641995,0.698073478110563,0.163997631803151,0.0351475068952073,0.58890266698747,0.41109733301253,"Napa","California","CA","2004-11"
"29","06",6057,"2004","11",20906,1715,544,11619,2002,28625,65411,0.31960985155402,0.437617526104172,0.730340611353712,1.36922414617813,0.177630673739891,0.0306064729173992,0.42207910197654,0.57792089802346,"Nevada","California","CA","2004-11"
"30","06",6059,"2004","11",452694,8484,10253,258857,41276,724260,1495824,0.30263854571126,0.484187979334467,0.625043492668379,1.59988866651645,0.173053113200483,0.0275941554621399,0.384631854770875,0.615368145229125,"Orange","California","CA","2004-11"
"31","06",6061,"2004","11",53049,1422,1112,28235,4429,94955,183202,0.289565616095894,0.518307660396721,0.558675161918804,1.78994891515391,0.154119496512047,0.0241755002674643,0.358429501905354,0.641570498094646,"Placer","California","CA","2004-11"
"32","06",6063,"2004","11",4811,137,91,2452,526,6208,14225,0.338207381370826,0.436414762741652,0.774967783505155,1.29037622115984,0.172372583479789,0.0369771528998243,0.436609492694437,0.563390507305563,"Plumas","California","CA","2004-11"
"33","06",6065,"2004","11",266238,2971,3691,109947,24678,361803,769328,0.346065657300917,0.470284456044756,0.735864545070107,1.35894575530165,0.142913035792276,0.0320773454235385,0.42391818368546,0.57608181631454,"Riverside","California","CA","2004-11"
"34","06",6067,"2004","11",279400,6262,3190,110683,21571,229595,650701,0.429383080708344,0.352842549803981,1.21692545569372,0.821743020758769,0.170098094209168,0.0331504024121678,0.548924842090787,0.451075157909213,"Sacramento","California","CA","2004-11"
"35","06",6069,"2004","11",11903,188,150,4299,790,9147,26477,0.449559995467764,0.345469652906296,1.30130097299661,0.768461732336386,0.162367337689315,0.0298372172073875,0.565463182897862,0.434536817102138,"San Benito","California","CA","2004-11"
"36","06",6071,"2004","11",281237,3040,3497,103524,25429,310411,727138,0.386772524610184,0.426894207151875,0.90601492859467,1.10373457262025,0.142371874389731,0.0349713534432254,0.475345137649413,0.524654862350587,"San Bernardino","California","CA","2004-11"
