"","State","County","Year","Month","D","G","L","N","O","R","Total","dPct","rPct","leanD","leanR","unaffiliatedPct","otherPct","dDRPct","rDRPct","CountyName","StateName","StateAbbr","YearMonth"
"1","06",6001,"2010","11",435127,9803,3114,169020,28518,120303,765885,0.568136208438604,0.157077106876359,3.61692559620292,0.276477901853941,0.220685873205507,0.0372353551773439,0.783405649676827,0.216594350323173,"Alameda","California","CA","2010-11"
"2","06",6003,"2010","11",280,12,3,162,31,245,733,0.381991814461119,0.334242837653479,1.14285714285714,0.875,0.221009549795362,0.0422919508867667,0.533333333333333,0.466666666666667,"Alpine","California","CA","2010-11"
"3","06",6005,"2010","11",7077,125,144,3431,827,9750,21354,0.331413318347851,0.456588929474572,0.725846153846154,1.37770241627808,0.160672473541257,0.0387281071462021,0.420574077375646,0.579425922624354,"Amador","California","CA","2010-11"
"4","06",6007,"2010","11",40168,1460,851,22498,5358,45402,115737,0.347062737067662,0.392285958682185,0.884718734857495,1.13030272854013,0.194389002652566,0.0462946162419969,0.469416851700362,0.530583148299638,"Butte","California","CA","2010-11"
"5","06",6009,"2010","11",9288,289,332,5103,1404,12324,28740,0.323173277661795,0.428810020876827,0.75365141187926,1.32687338501292,0.177557411273486,0.0488517745302714,0.42976124375347,0.57023875624653,"Calaveras","California","CA","2010-11"
"6","06",6011,"2010","11",2763,12,24,1270,167,3631,7867,0.351213931613067,0.461548239481378,0.760947397411181,1.31415128483532,0.161433837549256,0.0212279140714377,0.432123866124492,0.567876133875508,"Colusa","California","CA","2010-11"
"7","06",6013,"2010","11",265842,3473,2372,105168,16759,140211,533825,0.497994661171732,0.262653491312696,1.89601386481802,0.527422303473492,0.197008382897017,0.0313941834870978,0.654697785757032,0.345302214242968,"Contra Costa","California","CA","2010-11"
"8","06",6015,"2010","11",4560,104,69,2334,702,4672,12441,0.366530021702435,0.375532513463548,0.976027397260274,1.02456140350877,0.187605497950326,0.0564263322884013,0.493934142114385,0.506065857885615,"Del Norte","California","CA","2010-11"
"9","06",6017,"2010","11",32579,912,828,20415,4716,48475,107925,0.301867037294417,0.449154505443595,0.672078390923156,1.48792166733172,0.18915913829048,0.0436970118137596,0.401941915266366,0.598058084733634,"El Dorado","California","CA","2010-11"
"10","06",6019,"2010","11",160522,1605,1541,44444,23077,160383,391572,0.409942488226942,0.40958750881064,1.00086667539577,0.999134075080051,0.113501476101458,0.0589342445322955,0.500216574998831,0.499783425001169,"Fresno","California","CA","2010-11"
"11","06",6021,"2010","11",3832,46,58,2199,511,5618,12264,0.312459230267449,0.45808871493803,0.682093271626913,1.4660751565762,0.179305283757339,0.0416666666666667,0.405502645502645,0.594497354497355,"Glenn","California","CA","2010-11"
"12","06",6023,"2010","11",33113,3008,662,17248,2862,20862,77755,0.425863288534499,0.26830428911324,1.58723995781804,0.630024461691783,0.221824963024886,0.036807922320108,0.613487725798981,0.386512274201019,"Humboldt","California","CA","2010-11"
"13","06",6025,"2010","11",28404,122,176,9952,1649,14654,54957,0.516840438888586,0.266644831413651,1.93831035894636,0.515913251654696,0.181087031679313,0.0300052768528122,0.659668354312787,0.340331645687213,"Imperial","California","CA","2010-11"
"14","06",6027,"2010","11",3036,86,62,1651,404,4167,9406,0.322772698277695,0.443015096746757,0.728581713462923,1.37252964426877,0.175526259834148,0.0429513076759515,0.421491045397751,0.578508954602249,"Inyo","California","CA","2010-11"
"15","06",6029,"2010","11",110028,785,1579,51053,10765,137375,311585,0.353123545741932,0.440890928639055,0.800931756141947,1.24854582469917,0.163849350899434,0.0345491599403052,0.444731874714535,0.555268125285465,"Kern","California","CA","2010-11"
"16","06",6031,"2010","11",17757,114,181,7140,1646,22278,49116,0.361531883703885,0.453579281700464,0.797064368435228,1.25460381821254,0.145370144148546,0.0335125010179982,0.443536905207943,0.556463094792057,"Kings","California","CA","2010-11"
"17","06",6033,"2010","11",13983,393,227,6932,1466,9550,32551,0.429572056158029,0.293385763878222,1.46418848167539,0.682972180504899,0.212958127246475,0.0450370188319867,0.594186886499809,0.405813113500191,"Lake","California","CA","2010-11"
"18","06",6035,"2010","11",3837,56,92,2702,770,6834,14291,0.268490658456371,0.478203064866,0.561457418788411,1.78107896794371,0.189070044083689,0.0538800643761808,0.359572673601349,0.640427326398651,"Lassen","California","CA","2010-11"
"19","06",6037,"2010","11",2286987,23075,20457,916168,153345,1049383,4449415,0.513997233344159,0.235847409153788,2.17936349264282,0.458849569324181,0.205907518179356,0.0344640812331509,0.685471635340205,0.314528364659795,"Los Angeles","California","CA","2010-11"
