state_name,state_code,state_name,eac_link,state_reg_link,same_day_flag,same_day_note,same_day_description,same_day_data_source,online_flag,online_note,online_description,online_data_source,mail_flag,mail_note,mail_data_source,mail_form,markdown
Idaho,ID,Idaho,https://www.eac.gov/voters/idaho-state-elections-office/,http://www.idahovotes.gov/voter_info.shtml,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,"Enacted in 2016, but not implemented as of January 2017","Online voter registration is available (Enacted in 2016, but not implemented as of January 2017). ",https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,"**[Idaho](http://www.idahovotes.gov/voter_info.shtml)**: Online voter registration is available (Enacted in 2016, but not implemented as of January 2017). Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available."
Illinois,IL,Illinois,https://www.eac.gov/voters/illinois-state-elections-office/,https://ova.elections.il.gov/,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Illinois](https://ova.elections.il.gov/)**: Online voter registration is available. Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Indiana,IN,Indiana,https://www.eac.gov/voters/indiana-state-elections-office/,https://indianavoters.in.gov/PublicSite/OVR/Introduction.aspx?AspxAutoDetectCookieSupport=1,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Indiana](https://indianavoters.in.gov/PublicSite/OVR/Introduction.aspx?AspxAutoDetectCookieSupport=1)**: Online voter registration is available. Mail in registration is available.
Iowa,IA,Iowa,https://www.eac.gov/voters/iowa-state-elections-office/,https://sos.iowa.gov/elections/voterinformation/voterregistration.html,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Iowa](https://sos.iowa.gov/elections/voterinformation/voterregistration.html)**: Online voter registration is available. Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Kansas,KS,Kansas,https://www.eac.gov/voters/kansas-state-elections-office/,https://www.kdor.org/voterregistration/Default.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Kansas](https://www.kdor.org/voterregistration/Default.aspx)**: Online voter registration is available. Mail in registration is available.
Kentucky,KY,Kentucky,https://www.eac.gov/voters/kentucky-state-elections-office/,http://elect.ky.gov/registertovote/Pages/default.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Kentucky](http://elect.ky.gov/registertovote/Pages/default.aspx)**: Online voter registration is available. Mail in registration is available.
Louisiana,LA,Louisiana,https://www.eac.gov/voters/louisiana-state-elections-office/,http://www.sos.la.gov/ElectionsAndVoting/Pages/OnlineVoterRegistration.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Louisiana](http://www.sos.la.gov/ElectionsAndVoting/Pages/OnlineVoterRegistration.aspx)**: Online voter registration is available. Mail in registration is available.
Maine,ME,Maine,https://www.eac.gov/voters/maine-state-elections-office/,http://www.maine.gov/sos/cec/elec/data/index.html,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,False,,,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Maine](http://www.maine.gov/sos/cec/elec/data/index.html)**: Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Maryland,MD,Maryland,https://www.eac.gov/voters/maryland-state-elections-office/,https://voterservices.elections.state.md.us/OnlineVoterRegistration/VoterType,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Maryland](https://voterservices.elections.state.md.us/OnlineVoterRegistration/VoterType)**: Online voter registration is available. Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Massachusetts,MA,Massachusetts,https://www.eac.gov/voters/massachusetts-state-elections-office/,https://www.sec.state.ma.us/ele/eleifv/howreg.htm,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Massachusetts](https://www.sec.state.ma.us/ele/eleifv/howreg.htm)**: Online voter registration is available. Mail in registration is available.
Michigan,MI,Michigan,https://www.eac.gov/voters/michigan-state-elections-office/,"http://www.michigan.gov/sos/0,1607,7-127-1633_8716_8726_47669---,00.html",False,,,https://ballotpedia.org/Same-day_voter_registration,False,,,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,"**[Michigan](http://www.michigan.gov/sos/0,1607,7-127-1633_8716_8726_47669---,00.html)**: Mail in registration is available."
Minnesota,MN,Minnesota,https://www.eac.gov/voters/minnesota-state-elections-office/,http://mnvotesinfo.sos.state.mn.us/voters/voter-registration/,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Minnesota](http://mnvotesinfo.sos.state.mn.us/voters/voter-registration/)**: Online voter registration is available. Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Mississippi,MS,Mississippi,https://www.eac.gov/voters/mississippi-state-elections-office/,http://www.sos.ms.gov/elections-voting/pages/voter-registration-information.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,False,,,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Mississippi](http://www.sos.ms.gov/elections-voting/pages/voter-registration-information.aspx)**: Mail in registration is available.
Missouri,MO,Missouri,https://www.eac.gov/voters/missouri-state-elections-office/,http://s1.sos.mo.gov/elections/goVoteMissouri/register.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Missouri](http://s1.sos.mo.gov/elections/goVoteMissouri/register.aspx)**: Online voter registration is available. Mail in registration is available.
Montana,MT,Montana,https://www.eac.gov/voters/montana-state-elections-office/,http://sos.mt.gov/ELECTIONS/Vote/index.asp,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,False,,,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Montana](http://sos.mt.gov/ELECTIONS/Vote/index.asp)**: Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Nebraska,NE,Nebraska,https://www.eac.gov/voters/nebraska-state-elections-office/,http://www.sos.ne.gov/elec/voter_info.html,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Nebraska](http://www.sos.ne.gov/elec/voter_info.html)**: Online voter registration is available. Mail in registration is available.
