"fips_fixed","clinton","trump","johnson","stein","other","totalvotes","state","jurisdiction"
"01001",0.237696712449445,0.727665879149481,0.0218636127017179,0.00420454090417651,0.00856925479517879,24973,"AL","Autauga"
"01003",0.193856010082445,0.765457123352413,0.0258782754818043,0.00478916137163262,0.0100194297117051,95215,"AL","Baldwin"
"01005",0.465278441111854,0.520966663482663,0.00888336994937434,0.00171936192568536,0.00315216353042315,10469,"AL","Barbour"
"01007",0.212495747817213,0.764032203197641,0.0140605510828892,0.00192765619684772,0.00748384170540878,8819,"AL","Bibb"
"01009",0.0842582460528373,0.893348444583398,0.0132093168672815,0.00347819290292325,0.00570579959355948,25588,"AL","Blount"
"01011",0.749469214437367,0.24203821656051,0.00467091295116773,0.00212314225053079,0.00169851380042463,4710,"AL","Bullock"
"01013",0.426706367384333,0.561268896014659,0.00744388456252863,0.00148877691250573,0.00309207512597343,8732,"AL","Butler"
"01015",0.276658866789236,0.686632960053485,0.0233160621761658,0.00547384255390272,0.00791826842721043,47864,"AL","Calhoun"
"01017",0.416115107913669,0.564244604316547,0.0120863309352518,0.00316546762589928,0.00438848920863309,13900,"AL","Chambers"
"01019",0.144134911022081,0.834156340259014,0.0136960775179353,0.00242243547936271,0.00559023572160626,10733,"AL","Cherokee"
"01021",0.158473515161413,0.821002776416789,0.0124122162338723,0.00283085633404105,0.00528063585388426,18369,"AL","Chilton"
"01023",0.426357652221613,0.563082830499177,0.00713110257816786,0.000822819528250137,0.0026055951727921,7292,"AL","Choctaw"
"01025",0.441178727649451,0.547924180799632,0.00759726805310414,0.00130458138285627,0.00199524211495664,13031,"AL","Clarke"
"01027",0.186745169082126,0.791817632850242,0.0140398550724638,0.00241545893719807,0.00498188405797101,6624,"AL","Clay"
"01029",0.103746397694524,0.874260579402396,0.0136508418019111,0.00303352040042469,0.00530866070074321,6593,"AL","Cleburne"
"01031",0.203255164443588,0.764433957721385,0.0190687147878846,0.00500794529782829,0.00823421774931381,20767,"AL","Coffee"
"01033",0.293477824603652,0.67212522576761,0.0205097330925146,0.00429460164559502,0.00959261489062814,24915,"AL","Colbert"
"01035",0.467729688686409,0.519362186788155,0.00774487471526196,0.00151860288534548,0.00364464692482916,6585,"AL","Conecuh"
"01037",0.339299314546839,0.643754760091394,0.0100913937547601,0.00266565118050267,0.00418888042650419,5252,"AL","Coosa"
"01039",0.149749058971142,0.832308657465496,0.0114805520702635,0.00225846925972396,0.00420326223337516,15940,"AL","Covington"
"01041",0.265517791606829,0.720121270145205,0.0103717887346418,0.00223392372746131,0.00175522578586245,6267,"AL","Crenshaw"
"01043",0.10028252316954,0.871042695323845,0.0181395717265598,0.00353814062788794,0.00699706915216645,37873,"AL","Cullman"
"01045",0.235372553202837,0.736465944850392,0.0186676622753214,0.00330684303162835,0.00618699663982079,18749,"AL","Dale"
"01047",0.683056619838229,0.308056619838229,0.00510855683269476,0.00127713920817369,0.00250106428267348,18792,"AL","Dallas"
"01049",0.140246263455433,0.828815921939131,0.0177340664446682,0.00588554170216061,0.0073182064586076,25826,"AL","DeKalb"
"01051",0.226596886741814,0.741653247450349,0.0198067632850242,0.00300590445517982,0.00893719806763285,37260,"AL","Elmore"
"01053",0.31020545638262,0.669248905355339,0.0126641966992253,0.00249242169080498,0.00538901987201078,14845,"AL","Escambia"
"01055",0.236436916945929,0.732564985055701,0.0189068019201159,0.00371343175437008,0.00837786432388371,44164,"AL","Etowah"
