"Report Date/Time: 10/28/2016 01:57 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 1"
"","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","ACTIVE","","","","",""
"","","Precincts","Date/Period","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","","","Pima","41","47,426","","504","785","15,832","29,436","93,983"
"","","","TOTALS","41","47,426","","504","785","15,832","29,436","93,983"
"","","Legislative District 4","","","","","","","","",""
"","","","Maricopa","18","8,576","","61","275","10,015","11,433","30,360"
"","","","Pima","17","7,484","","43","77","2,363","4,847","14,814"
"","","","Pinal","1","152","","0","0","11","62","225"
"","","","Yuma","23","19,824","","40","255","8,252","16,692","45,063"
"","","","TOTALS","59","36,036","","144","607","20,641","33,034","90,462"
"","","Legislative District 5","","","","","","","","",""
"","","","La Paz","11","2,138","","12","34","3,420","3,280","8,884"
"","","","Mohave","22","20,278","","141","724","50,275","43,153","114,571"
"","","","TOTALS","33","22,416","","153","758","53,695","46,433","123,455"
"","","Legislative District 6","","","","","","","","",""
"","","","Coconino","45","21,028","","256","679","16,107","20,623","58,693"
"","","","Gila","18","3,194","","23","125","9,522","4,668","17,532"
"","","","Navajo","5","3,050","","14","116","9,065","4,063","16,308"
"","","","Yavapai","10","10,090","","109","295","13,762","13,921","38,177"
"","","","TOTALS","78","37,362","","402","1,215","48,456","43,275","130,710"
"","","Legislative District 7","","","","","","","","",""
"","","","Apache","45","27,638","","53","160","8,241","12,148","48,240"
"","","","Coconino","26","11,376","","36","187","4,383","6,786","22,768"
"","","","Gila","3","1,870","","1","7","180","930","2,988"
"","","","Graham","2","1,415","","1","5","181","637","2,239"
"","","","Mohave","2","279","","0","2","115","372","768"
"","","","Navajo","9","22,146","","49","306","11,724","13,410","47,635"
"","","","Pinal","1","0","","0","0","0","0","0"
"","","","TOTALS","88","64,724","","140","667","24,824","34,283","124,638"
"","","Legislative District 8","","","","","","","","",""
"","","","Gila","18","4,019","","10","46","2,548","2,423","9,046"
"","","","Pinal","51","26,411","","112","643","26,622","31,030","84,818"
"","","","TOTALS","69","30,430","","122","689","29,170","33,453","93,864"
"","","Legislative District 9","","","","","","","","",""
"","","","Pima","57","48,519","","463","1,069","38,860","37,677","126,588"
"","","","TOTALS","57","48,519","","463","1,069","38,860","37,677","126,588"
"","","Legislative District 10","","","","","","","","",""
"","","","Pima","49","46,561","","423","1,078","39,910","37,167","125,139"
"","","","TOTALS","49","46,561","","423","1,078","39,910","37,167","125,139"
"","","Legislative District 11","","","","","","","","",""
"","","","Pima","34","21,603","","142","595","33,695","24,177","80,212"
"","","","Pinal","27","14,444","","80","454","19,275","20,804","55,057"
"","","","TOTALS","61","36,047","","222","1,049","52,970","44,981","135,269"
"","","Legislative District 12","","","","","","","","",""
"","","","Maricopa","34","29,321","","167","1,488","67,498","46,569","145,043"
"","","","Pinal","1","266","","2","17","642","522","1,449"
"","","","TOTALS","35","29,587","","169","1,505","68,140","47,091","146,492"
"Report Date/Time: 10/28/2016 01:57 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","Page Number 4"
"","","","","","","2016 General Election Voter Registration - November 8, 2016","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","",""
"","","","","","","ACTIVE","","","","",""
"","Legislative","","","Precincts","Democratic","","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 13","","","","","","","","",""
