Report Date/Time: 10/22/2013 04:41 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,Page Number 1,,
,,,,,"2013 October Voter Registration - October 1, 2013",,,,,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,,
,,,,,,ACTIVE,,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,,
,,,,,,,,,,,,,Other,,
,,,,,,Americans ,,,Democratic,Green,Libertarian,Republican,,,
,Legislative,,,,,,,,,,,,,,
,,,,,29,0,,,"1,846",6,65,"2,500",,"8,035",
,,Legislative District 13,,,,,,,,,,,"3,618",,
,,,Maricopa,,0,0,,,0,0,0,0,,0,
,,,,,,,,,,,,,0,,
,,,Yavapai,,20,0,,,887,9,29,"1,465",,"3,990",
,,,,,49,,,,,,,,"1,600","12,025",
,,,Yuma,,,,,,,,,,"5,218",,
,,,,TOTALS,,0,,,"2,733",15,94,"3,965",,,
,,,,,,,,,,,,,,,
,,,,,49,1,,,"1,335",17,35,"1,550",,"5,066",
,,Legislative District 14,,,,,,,,,,,"2,128",,
,,,Cochise,,20,0,,,564,2,15,784,,"2,041",
,,,,,,,,,,,,,676,,
,,,Graham,,8,0,,,103,0,2,74,,270,
,,,,,,,,,,,,,91,,
,,,Greenlee,,17,1,,,701,4,36,"1,155",,"3,074",
,,,,,94,,,,,,,,"1,177","10,451",
,,,Pima,,,,,,,,,,"4,072",,
,,,,TOTALS,,2,,,"2,703",23,88,"3,563",,,
,,,,,,,,,,,,,,,
,,,,,42,2,,,"3,765",42,190,"5,559",,"17,169",
,,Legislative District 15,,,42,,,,,,,,"7,611","17,169",
,,,Maricopa,,,,,,,,,,"7,611",,
,,,,TOTALS,,2,,,"3,765",42,190,"5,559",,,
,,,,,,,,,,,,,,,
,,,,,19,1,,,"1,889",12,86,"2,654",,"8,630",
,,Legislative District 16,,,,,,,,,,,"3,988",,
,,,Maricopa,,21,0,,,"2,156",13,65,"2,289",,"8,562",
,,,,,40,,,,,,,,"4,039","17,192",
,,,Pinal,,,,,,,,,,"8,027",,
,,,,TOTALS,,1,,,"4,045",25,151,"4,943",,,
,,,,,,,,,,,,,,,
,,,,,39,2,,,"3,004",25,117,"3,507",,"12,525",
,,Legislative District 17,,,39,,,,,,,,"5,870","12,525",
,,,Maricopa,,,,,,,,,,"5,870",,
,,,,TOTALS,,2,,,"3,004",25,117,"3,507",,,
,,,,,,,,,,,,,,,
,,,,,42,3,,,"4,478",46,181,"4,097",,"16,038",
,,Legislative District 18,,,42,,,,,,,,"7,233","16,038",
,,,Maricopa,,,,,,,,,,"7,233",,
,,,,TOTALS,,3,,,"4,478",46,181,"4,097",,,
,,,,,,,,,,,,,,,
,,,,,28,2,,,"4,413",18,204,"1,911",,"13,035",
,,Legislative District 19,,,28,,,,,,,,"6,487","13,035",
,,,Maricopa,,,,,,,,,,"6,487",,
,,,,TOTALS,,2,,,"4,413",18,204,"1,911",,,
,,,,,,,,,,,,,,,
,,,,,47,0,,,"5,157",37,237,"4,890",,"19,726",
,,Legislative District 20,,,47,,,,,,,,"9,405","19,726",
,,,Maricopa,,,,,,,,,,"9,405",,
,,,,TOTALS,,0,,,"5,157",37,237,"4,890",,,
,,,,,,,,,,,,,,,
,,,,,42,0,,,"3,785",17,105,"4,139",,"14,439",
,,Legislative District 21,,,42,,,,,,,,"6,393","14,439",
,,,Maricopa,,,,,,,,,,"6,393",,
,,,,TOTALS,,0,,,"3,785",17,105,"4,139",,,
,,,,,,,,,,,,,,,
,,,,,48,0,,,"2,613",12,82,"4,227",,"12,057",
,,Legislative District 22,,,48,,,,,,,,"5,123","12,057",
,,,Maricopa,,,,,,,,,,"5,123",,
,,,,TOTALS,,0,,,"2,613",12,82,"4,227",,,
,,,,,,,,,,,,,,,
,,,,,57,1,,,"2,912",24,111,"4,712",,"14,063",
,,Legislative District 23,,,57,,,,,,,,"6,303","14,063",
,,,Maricopa,,,,,,,,,,"6,303",,
,,,,TOTALS,,1,,,"2,912",24,111,"4,712",,,
,,,,,,,,,,,,,,,
,,,,,40,0,,,"7,153",95,290,"3,386",,"20,280",
,,Legislative District 24,,,40,,,,,,,,"9,356","20,280",
,,,Maricopa,,,,,,,,,,"9,356",,
,,,,TOTALS,,0,,,"7,153",95,290,"3,386",,,
,,,,,,,,,,,,,,,
,,,,,37,2,,,"3,649",30,148,"4,855",,"15,594",
,,Legislative District 25,,,37,,,,,,,,"6,910","15,594",
,,,Maricopa,,,,,,,,,,"6,910",,
,,,,TOTALS,,2,,,"3,649",30,148,"4,855",,,
,,,,,,,,,,,,,,,
,,,,,34,1,,,"5,182",86,304,"3,488",,"18,790",
,,Legislative District 26,,,34,,,,,,,,"9,729","18,790",
,,,Maricopa,,,,,,,,,,"9,729",,
,,,,TOTALS,,1,,,"5,182",86,304,"3,488",,,
,,,,,,,,,,,,,,,
,,,,,35,0,,,"5,327",20,166,"1,698",,"13,457",
,,Legislative District 27,,,35,,,,,,,,"6,246","13,457",
,,,Maricopa,,,,,,,,,,"6,246",,
,,,,TOTALS,,0,,,"5,327",20,166,"1,698",,,
,,,,,,,,,,,,,,,
