044  GREEN ,10 ,3075 ,5283 ,294 ,96 ,5 ,0 ,1 ,0 ,0 ,4190 ,4564 ,8754
045  GREENUP ,29 ,15971 ,10881 ,1396 ,799 ,48 ,10 ,7 ,1 ,1 ,13764 ,15349 ,29114
046  HANCOCK ,10 ,3920 ,2425 ,266 ,109 ,15 ,0 ,2 ,0 ,0 ,3288 ,3448 ,6737
047  HARDIN ,60 ,38569 ,33457 ,6082 ,2287 ,241 ,47 ,28 ,4 ,0 ,37746 ,42969 ,80715
048  HARLAN ,32 ,13413 ,6539 ,413 ,211 ,24 ,4 ,5 ,0 ,1 ,9896 ,10713 ,20610
049  HARRISON ,19 ,8600 ,4114 ,495 ,269 ,19 ,3 ,2 ,1 ,0 ,6413 ,7090 ,13503
050  HART ,19 ,7769 ,4685 ,513 ,244 ,23 ,9 ,1 ,0 ,0 ,6349 ,6895 ,13244
051  HENDERSON ,45 ,22882 ,9482 ,1868 ,536 ,59 ,16 ,9 ,0 ,2 ,16204 ,18646 ,34854
052  HENRY ,20 ,6906 ,4273 ,478 ,232 ,27 ,4 ,1 ,0 ,0 ,5816 ,6105 ,11921
053  HICKMAN ,6 ,2483 ,1076 ,131 ,40 ,3 ,0 ,1 ,0 ,0 ,1728 ,2006 ,3734
054  HOPKINS ,50 ,21172 ,11403 ,1288 ,715 ,63 ,8 ,4 ,2 ,0 ,16208 ,18447 ,34655
055  JACKSON ,14 ,1324 ,8246 ,296 ,110 ,6 ,4 ,0 ,0 ,0 ,4920 ,5066 ,9986
056  JEFFERSON ,623 ,333768 ,192818 ,36726 ,17637 ,1501 ,426 ,57 ,5 ,20 ,268769 ,314187 ,582958
057  JESSAMINE ,36 ,16380 ,19278 ,2531 ,1050 ,83 ,11 ,9 ,3 ,3 ,18437 ,20911 ,39348
058  JOHNSON ,31 ,6815 ,10182 ,584 ,261 ,13 ,5 ,0 ,2 ,0 ,8575 ,9287 ,17862
059  KENTON ,106 ,51209 ,58824 ,12415 ,5482 ,486 ,106 ,17 ,3 ,2 ,61085 ,67457 ,128544
060  KNOTT ,30 ,9972 ,1029 ,163 ,114 ,9 ,0 ,0 ,0 ,0 ,5451 ,5836 ,11287
061  KNOX ,30 ,7222 ,15933 ,682 ,289 ,29 ,5 ,0 ,0 ,1 ,11569 ,12592 ,24161
062  LARUE ,12 ,6075 ,3665 ,525 ,175 ,20 ,1 ,3 ,0 ,1 ,4981 ,5484 ,10465
