Locality,PrecinctCode,PrecinctName,ActiveVoters,InactiveVoters,AllVoters,MilitaryVoters,OverseasVoters,TempVoters,TotalPrecinctsInLocality,TotalActiveVotersPrecinctLocality,TotalInActiveVotersPrecinctLocality,TotalAllVotersPrecinctLocality,TotalMilitaryVotersPrecinctLocality,TotalOverseasVotersPrecinctLocality,TotalFederalVotersPrecinctLocality,StateTotalLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,StateTotalPrecincts
Locality: 001 ACCOMACK COUNTY,0101,101 - CHINCOTEAGUE,"2,445",221,"2,666",7,3,9,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0201,201 - ATLANTIC,"1,120",97,"1,217",5,,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0202,202 - GREENBACKVILLE,"1,547",232,"1,779",9,,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0301,301 - NEW CHURCH,"2,396",346,"2,742",9,1,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0401,401 - BLOXOM,742,82,824,2,,1,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0402,402 - PARKSLEY,"1,110",124,"1,234",7,,1,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0403,403 - SAXIS,314,45,359,1,,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0501,501 - MAPPSVILLE,"1,101",126,"1,227",4,1,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0502,502 - RUE,"1,008",120,"1,128",6,,2,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0601,601 - ACCOMAC,"1,827",211,"2,038",6,1,1,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0602,602 - TANGIER,368,30,398,7,,2,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0701,701 - NANDUA,"2,772",193,"2,965",12,4,13,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0801,801 - BOBTOWN,879,63,942,3,,2,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0802,802 - MELFA,"1,282",99,"1,381",3,,,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0803,803 - WACHAPREAGUE,736,58,794,4,1,1,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 001 ACCOMACK COUNTY,0901,901 - PAINTER,"2,672",214,"2,886",8,2,2,16,"22,319","2,261","24,580",93,13,34,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0101,101 - WOODBROOK,"2,856",238,"3,094",13,10,3,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0103,103 - BRANCHLANDS,"1,227",185,"1,412",4,7,2,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0104,104 - AGNOR-HURT,"2,310",313,"2,623",13,13,13,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0105,105 - DUNLORA,"2,904",232,"3,136",9,17,13,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0106,106 - NORTHSIDE,"3,159",210,"3,369",22,13,14,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0201,201 - JACK JOUETT,"2,217",232,"2,449",10,18,15,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0202,202 - UNIVERSITY HALL,"3,967","1,103","5,070",17,20,25,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0203,203 - GEORGETOWN,"2,867",498,"3,365",17,8,16,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0204,204 - BELFIELD,"1,252",65,"1,317",4,9,18,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0301,301 - IVY,"3,784",228,"4,012",8,35,30,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0302,302 - RED HILL,"2,828",153,"2,981",3,14,18,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0304,304 - EAST IVY,"1,026",52,"1,078",1,13,2,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0305,305 - COUNTRY GREEN,"2,276",191,"2,467",11,2,7,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0306,306 - PORTERS,"1,490",82,"1,572",5,2,3,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0307,307 - YELLOW MOUNTAIN,690,46,736,,9,9,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0401,401 - SCOTTSVILLE,"1,543",102,"1,645",6,8,4,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0402,402 - MONTICELLO,"1,467",82,"1,549",6,8,4,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0405,405 - CALE,"4,680",803,"5,483",17,16,16,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0406,406 - STONE ROBINSON,"2,908",149,"3,057",8,10,10,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0501,501 - KESWICK,"1,385",95,"1,480",3,6,4,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0502,502 - STONY POINT,"1,525",80,"1,605",6,4,10,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0503,503 - HOLLYMEAD,"2,440",262,"2,702",23,15,11,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0504,504 - FREE BRIDGE,"4,019",388,"4,407",17,20,13,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0506,506 - BAKER-BUTLER,"3,015",212,"3,227",19,11,11,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0601,601 - CROZET,"3,979",273,"4,252",14,24,21,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0602,602 - FREE UNION,"1,349",64,"1,413",7,5,9,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0603,603 - EARLYSVILLE,"3,047",170,"3,217",12,15,13,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 003 ALBEMARLE COUNTY,0604,604 - BROWNSVILLE,"4,415",263,"4,678",22,17,10,28,"70,625","6,771","77,396",297,349,324,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0101,101 - ARRITT,"1,033",60,"1,093",6,2,3,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0103,103 - DAMERON,353,37,390,2,,,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0201,201 - HUMPBACK BRIDGE,579,35,614,4,2,,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0202,202 - DOLLY ANN,766,73,839,,1,,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0301,301 - CALLAGHAN,585,29,614,,,,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0302,302 - GRIFFITH,979,54,"1,033",2,,,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0401,401 - LOW MOOR,736,49,785,1,3,2,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0402,402 - JACKSON HEIGHTS,891,61,952,,,,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0501,501 - IRON GATE,402,27,429,2,,,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0502,502 - PETERS SWITCH,"1,069",52,"1,121",3,,,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0601,601 - DISTRICT 1,"1,416",103,"1,519",7,2,,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 005 ALLEGHANY COUNTY,0701,701 - DISTRICT 2,"1,171",96,"1,267",4,,1,12,"9,980",676,"10,656",31,10,6,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 007 AMELIA COUNTY,0101,101 - NUMBER ONE,"1,587",112,"1,699",6,1,,5,"8,807",460,"9,267",31,12,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 007 AMELIA COUNTY,0201,201 - NUMBER TWO,"1,769",77,"1,846",8,6,1,5,"8,807",460,"9,267",31,12,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 007 AMELIA COUNTY,0301,301 - NUMBER THREE,"1,773",81,"1,854",3,3,,5,"8,807",460,"9,267",31,12,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 007 AMELIA COUNTY,0401,401 - NUMBER FOUR,"1,730",98,"1,828",9,1,,5,"8,807",460,"9,267",31,12,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 007 AMELIA COUNTY,0501,501 - NUMBER FIVE,"1,948",92,"2,040",5,1,,5,"8,807",460,"9,267",31,12,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0101,101 - WRIGHT SHOP,"1,468",66,"1,534",2,3,,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0102,102 - NEW GLASGOW,"1,843",87,"1,930",10,1,,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0103,103 - COOLWELL,874,58,932,3,,,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0201,201 - COURT HOUSE,"2,884",212,"3,096",17,6,3,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0202,202 - TEMPERANCE,"1,114",40,"1,154",5,2,,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0301,301 - MONROE,"1,161",84,"1,245",7,1,2,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0302,302 - ELON,"2,622",114,"2,736",12,1,1,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0303,303 - PLEASANT VIEW,640,29,669,1,,,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0401,401 - AMELON,"3,211",187,"3,398",11,2,1,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0402,402 - LONCO,896,37,933,2,2,,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 009 AMHERST COUNTY,0501,501 - MADISON,"3,358",198,"3,556",12,2,5,11,"20,071","1,112","21,183",82,20,12,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 011 APPOMATTOX COUNTY,0101,101 - VERA,756,26,782,1,3,,9,"10,292",441,"10,733",37,11,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 011 APPOMATTOX COUNTY,0102,102 - PAMPLIN,"1,354",56,"1,410",4,1,,9,"10,292",441,"10,733",37,11,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 011 APPOMATTOX COUNTY,0201,201 - CHAP,554,41,595,2,,,9,"10,292",441,"10,733",37,11,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 011 APPOMATTOX COUNTY,0202,202 - SPOUT SPRING,"1,618",62,"1,680",5,3,,9,"10,292",441,"10,733",37,11,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 011 APPOMATTOX COUNTY,0301,301 - US  460,944,28,972,,,,9,"10,292",441,"10,733",37,11,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 011 APPOMATTOX COUNTY,0302,302 - STONEWALL,"1,153",43,"1,196",9,,,9,"10,292",441,"10,733",37,11,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 011 APPOMATTOX COUNTY,0401,401 - COURTHOUSE,"1,901",115,"2,016",9,2,,9,"10,292",441,"10,733",37,11,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 011 APPOMATTOX COUNTY,0501,501 - OAKVILLE,"1,418",47,"1,465",7,1,,9,"10,292",441,"10,733",37,11,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 011 APPOMATTOX COUNTY,0502,502 - AGEE,594,23,617,,1,1,9,"10,292",441,"10,733",37,11,1,133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0001,001 - ARLINGTON,"2,664",259,"2,923",12,18,8,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0002,002 - ASHTON HEIGHTS,"3,051",367,"3,418",11,58,21,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0003,003 - AURORA HILLS,"1,891",173,"2,064",22,33,20,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0004,004 - BALLSTON,"2,952",349,"3,301",12,53,22,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0005,005 - BARCROFT,"2,350",207,"2,557",14,35,19,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0006,006 - CRYSTAL CITY,"2,313",485,"2,798",30,37,25,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0007,007 - CHERRYDALE,"2,970",228,"3,198",10,46,31,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0008,008 - HUME,"3,677",734,"4,411",37,62,37,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0009,009 - COLUMBIA,"3,741",456,"4,197",31,71,21,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0010,010 - WILSON,"4,189",719,"4,908",38,119,51,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0011,011 - EAST FALLS CHURCH,"2,059",133,"2,192",5,45,20,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0012,012 - FAIRLINGTON,"2,638",272,"2,910",23,59,25,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0013,013 - GLEN CARLYN,"2,070",151,"2,221",12,37,4,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0014,014 - CLARENDON,"2,351",381,"2,732",10,36,11,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0015,015 - LYON PARK,"3,095",614,"3,709",12,60,33,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0016,016 - LYON VILLAGE,"3,171",447,"3,618",9,56,23,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0017,017 - OVERLEE KNOLLS,"3,176",258,"3,434",11,55,16,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0018,018 - PARK LANE,"5,034","1,060","6,094",17,92,32,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0019,019 - ROSSLYN,"3,881",857,"4,738",11,107,53,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0020,020 - THRIFTON,"2,935",148,"3,083",14,47,23,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0021,021 - VIRGINIA HIGHLANDS,"4,469",857,"5,326",30,70,25,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0022,022 - ABINGDON,"2,943",353,"3,296",21,76,20,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0023,023 - WESTOVER,"2,763",212,"2,975",13,31,24,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0024,024 - WOODLAWN,"3,867",328,"4,195",15,60,27,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0025,025 - ARLINGTON FOREST,"2,228",158,"2,386",10,45,13,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0026,026 - FILLMORE,"3,997",599,"4,596",16,39,12,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0027,027 - JEFFERSON,"2,894",287,"3,181",8,36,11,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0028,028 - CLAREMONT,"3,609",471,"4,080",20,31,16,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0029,029 - DOMINION HILLS,"2,751",190,"2,941",13,67,25,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0030,030 - GLEBE,"3,136",338,"3,474",6,16,3,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0031,031 - LEXINGTON,"2,854",174,"3,028",11,26,15,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0032,032 - OAKRIDGE,"1,341",237,"1,578",24,15,13,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0033,033 - ROCK SPRING,"2,994",153,"3,147",14,33,14,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0034,034 - YORKTOWN,"2,621",145,"2,766",7,43,18,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0035,035 - MADISON,"3,237",146,"3,383",14,36,21,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0036,036 - MARSHALL,"3,347",316,"3,663",16,46,31,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0037,037 - NOTTINGHAM,"2,526",136,"2,662",11,41,13,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0038,038 - ARLINGTON VIEW,"2,687",484,"3,171",15,29,13,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0039,039 - ASHLAWN,"1,672",158,"1,830",10,23,8,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0040,040 - VIRGINIA SQUARE,"3,628",549,"4,177",21,79,18,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0041,041 - WOODBURY,"3,313",620,"3,933",19,70,46,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0042,042 - SHIRLINGTON,"2,482",525,"3,007",21,46,10,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0043,043 - ARLINGTON MILL,"2,520",259,"2,779",8,18,4,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
Locality: 013 ARLINGTON COUNTY,0044,044 - DAWSON TERRACE,"2,438",436,"2,874",8,37,26,52,"149,708","19,966","169,674",799,"2,470","1,037",133,"5,127,093","492,058","5,619,151","37,804","21,094","7,660","2,440"
