Report Date/Time: 11/03/2014 02:52 PM,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,,Page Number 1,
,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,
,,,,,,,"2014 General Election - November 4, 2014",,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,,ACTIVE,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,
,,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,Precincts,,INACTIVE,,,,,,TOTAL,
,,,,,,,,,,,,Other,,
,,,,,,Americans Elect,,,Democratic,Libertarian,Republican,,,
,Legislative,,,,,,,,,,,,,
,,,,,29,0,,,"2,265",82,"3,117",,"9,870",
,,Legislative District 13,,,,,,,,,,"4,406",,
,,,Maricopa,,0,0,,,0,0,0,,0,
,,,,,,,,,,,,0,,
,,,Yavapai,,21,0,,,"1,869",65,"2,677",,"8,056",
,,,,,50,,,,,,,"3,445","17,926",
,,,Yuma,,,,,,,,,"7,851",,
,,,,TOTALS,,0,,,"4,134",147,"5,794",,,
,,,,,,,,,,,,,,
,,,,,49,2,,,"2,584",80,"3,180",,"10,399",
,,Legislative District 14,,,,,,,,,,"4,553",,
,,,Cochise,,20,0,,,647,22,"1,087",,"2,618",
,,,,,,,,,,,,862,,
,,,Graham,,8,0,,,170,3,102,,428,
,,,,,,,,,,,,153,,
,,,Greenlee,,17,1,,,813,43,"1,391",,"3,775",
,,,,,94,,,,,,,"1,527","17,220",
,,,Pima,,,,,,,,,"7,095",,
,,,,TOTALS,,3,,,"4,214",148,"5,760",,,
,,,,,,,,,,,,,,
,,,,,42,5,,,"4,256",217,"6,403",,"19,717",
,,Legislative District 15,,,42,,,,,,,"8,836","19,717",
,,,Maricopa,,,,,,,,,"8,836",,
,,,,TOTALS,,5,,,"4,256",217,"6,403",,,
,,,,,,,,,,,,,,
,,,,,19,1,,,"2,408",104,"3,407",,"10,888",
,,Legislative District 16,,,,,,,,,,"4,968",,
,,,Maricopa,,21,0,,,"2,142",67,"2,469",,"8,855",
,,,,,40,,,,,,,"4,177","19,743",
,,,Pinal,,,,,,,,,"9,145",,
,,,,TOTALS,,1,,,"4,550",171,"5,876",,,
,,,,,,,,,,,,,,
,,,,,39,2,,,"4,037",184,"4,684",,"16,574",
,,Legislative District 17,,,39,,,,,,,"7,667","16,574",
,,,Maricopa,,,,,,,,,"7,667",,
,,,,TOTALS,,2,,,"4,037",184,"4,684",,,
,,,,,,,,,,,,,,
,,,,,42,4,,,"5,518",255,"4,979",,"19,718",
