"Report Date/Time: 05/01/2015 01:31 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 1"
"","","","","","2015 April Voter Registration - April 1, 2015","","","","","",""
"","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","ACTIVE","","","","","",""
"","","Precincts","Date/Period","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","","Pima","41","14","","38,749","496","732","14,460","27,919","82,370"
"","","","TOTALS","41","14","","38,749","496","732","14,460","27,919","82,370"
"","","Legislative District 4","","","","","","","","","",""
"","","","Maricopa","18","5","","6,871","32","203","8,308","10,216","25,635"
"","","","Pima","17","2","","6,590","32","82","2,130","4,589","13,425"
"","","","Pinal","1","0","","131","0","0","11","55","197"
"","","","Yuma","23","3","","16,207","12","230","7,349","14,987","38,788"
"","","","TOTALS","59","10","","29,799","76","515","17,798","29,847","78,045"
"","","Legislative District 5","","","","","","","","","",""
"","","","La Paz","11","1","","2,164","11","37","3,230","3,462","8,905"
"","","","Mohave","71","17","","21,820","106","675","45,842","47,230","115,690"
"","","","TOTALS","82","18","","23,984","117","712","49,072","50,692","124,595"
"","","Legislative District 6","","","","","","","","","",""
"","","","Coconino","45","4","","15,135","204","579","13,596","18,584","48,102"
"","","","Gila","18","1","","3,024","14","111","8,298","4,639","16,087"
"","","","Navajo","16","1","","2,913","9","83","7,683","3,687","14,376"
"","","","Yavapai","10","3","","8,345","70","246","12,195","13,952","34,811"
"","","","TOTALS","89","9","","29,417","297","1,019","41,772","40,862","113,376"
"","","Legislative District 7","","","","","","","","","",""
"","","","Apache","45","5","","26,681","34","142","7,400","12,626","46,888"
"","","","Coconino","26","0","","10,757","22","203","4,097","6,804","21,883"
"","","","Gila","3","0","","2,117","0","9","207","1,112","3,445"
"","","","Graham","2","0","","1,452","0","3","200","686","2,341"
"","","","Mohave","2","0","","289","0","1","121","328","739"
"","","","Navajo","45","5","","20,165","36","280","9,964","12,725","43,175"
"","","","Pinal","1","0","","0","0","0","0","0","0"
"","","","TOTALS","124","10","","61,461","92","638","21,989","34,281","118,471"
"","","Legislative District 8","","","","","","","","","",""
"","","","Gila","18","1","","4,220","8","42","2,248","2,447","8,966"
"","","","Pinal","51","3","","22,768","74","454","20,908","27,773","71,980"
"","","","TOTALS","69","4","","26,988","82","496","23,156","30,220","80,946"
"","","Legislative District 9","","","","","","","","","",""
"","","","Pima","57","9","","39,996","428","978","35,485","35,672","112,568"
"","","","TOTALS","57","9","","39,996","428","978","35,485","35,672","112,568"
"","","Legislative District 10","","","","","","","","","",""
"","","","Pima","49","11","","39,937","348","913","36,563","35,964","113,736"
"","","","TOTALS","49","11","","39,937","348","913","36,563","35,964","113,736"
"","","Legislative District 11","","","","","","","","","",""
"","","","Pima","34","5","","18,348","104","478","29,367","22,784","71,086"
"","","","Pinal","27","3","","11,302","40","384","15,372","18,500","45,601"
"","","","TOTALS","61","8","","29,650","144","862","44,739","41,284","116,687"
"","","Legislative District 12","","","","","","","","","",""
"","","","Maricopa","34","16","","23,876","109","1,114","59,958","45,674","130,747"
"","","","Pinal","1","0","","222","0","10","551","491","1,274"
"","","","TOTALS","35","16","","24,098","109","1,124","60,509","46,165","132,021"
"Report Date/Time: 05/01/2015 01:31 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 4"
"","","","","","","2015 April Voter Registration - April 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Legislative","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 13","","","","","","","","","",""
"","","","Maricopa","29","10","","14,774","49","531","26,744","25,100","67,208"
"","","","Yavapai","0","0","","0","0","0","0","0","0"
"","","","Yuma","21","4","","8,032","17","243","13,519","12,658","34,473"
"","","","TOTALS","50","14","","22,806","66","774","40,263","37,758","101,681"
"","","Legislative District 14","","","","","","","","","",""
"","","","Cochise","49","14","","18,632","110","445","25,582","24,435","69,218"
"","","","Graham","20","2","","4,224","8","57","7,273","3,776","15,340"
"","","","Greenlee","8","0","","2,102","3","25","1,108","1,201","4,439"
"","","","Pima","17","5","","6,073","36","233","11,308","9,156","26,811"
"","","","TOTALS","94","21","","31,031","157","760","45,271","38,568","115,808"
"","","Legislative District 15","","","","","","","","","",""
"","","","Maricopa","42","23","","27,216","115","1,131","53,738","45,885","128,108"
"","","","TOTALS","42","23","","27,216","115","1,131","53,738","45,885","128,108"
"","","Legislative District 16","","","","","","","","","",""
"","","","Maricopa","19","17","","14,703","70","545","28,152","28,381","71,868"
"","","","Pinal","21","4","","8,342","39","279","14,949","17,109","40,722"
"","","","TOTALS","40","21","","23,045","109","824","43,101","45,490","112,590"
"","","Legislative District 17","","","","","","","","","",""
"","","","Maricopa","39","28","","29,532","103","1,033","46,894","47,602","125,192"
"","","","TOTALS","39","28","","29,532","103","1,033","46,894","47,602","125,192"
"","","Legislative District 18","","","","","","","","","",""
"","","","Maricopa","42","17","","37,153","205","1,309","47,828","48,442","134,954"
"","","","TOTALS","42","17","","37,153","205","1,309","47,828","48,442","134,954"
"","","Legislative District 19","","","","","","","","","",""
"","","","Maricopa","28","6","","28,958","51","713","13,134","32,615","75,477"
"","","","TOTALS","28","6","","28,958","51","713","13,134","32,615","75,477"
"","","Legislative District 20","","","","","","","","","",""
"","","","Maricopa","47","22","","29,918","172","1,143","40,719","41,522","113,496"
"","","","TOTALS","47","22","","29,918","172","1,143","40,719","41,522","113,496"
"","","Legislative District 21","","","","","","","","","",""
"","","","Maricopa","42","23","","30,326","81","794","41,753","42,614","115,591"
"","","","TOTALS","42","23","","30,326","81","794","41,753","42,614","115,591"
"","","Legislative District 22","","","","","","","","","",""
"","","","Maricopa","48","13","","27,692","74","782","58,764","46,952","134,277"
"","","","TOTALS","48","13","","27,692","74","782","58,764","46,952","134,277"
"","","Legislative District 23","","","","","","","","","",""
"","","","Maricopa","57","15","","29,376","112","1,010","65,446","53,079","149,038"
"","","","TOTALS","57","15","","29,376","112","1,010","65,446","53,079","149,038"
"","","Legislative District 24","","","","","","","","","",""
"","","","Maricopa","40","22","","33,745","232","1,085","20,782","35,002","90,868"
"","","","TOTALS","40","22","","33,745","232","1,085","20,782","35,002","90,868"
"","","Legislative District 25","","","","","","","","","",""
"","","","Maricopa","37","22","","24,361","145","1,063","54,887","41,916","122,394"
"","","","TOTALS","37","22","","24,361","145","1,063","54,887","41,916","122,394"
"","","Legislative District 26","","","","","","","","","",""
"","","","Maricopa","34","20","","26,224","235","1,186","20,678","37,376","85,719"
"","","","TOTALS","34","20","","26,224","235","1,186","20,678","37,376","85,719"
"","","Legislative District 27","","","","","","","","","",""
"","","","Maricopa","35","14","","36,126","91","662","10,695","32,476","80,064"
"","","","TOTALS","35","14","","36,126","91","662","10,695","32,476","80,064"
"","","Legislative District 28","","","","","","","","","",""
"","","","Maricopa","57","21","","33,662","176","1,198","47,996","40,850","123,903"
"","","","TOTALS","57","21","","33,662","176","1,198","47,996","40,850","123,903"
"Report Date/Time: 05/01/2015 01:31 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 5"
"","","","","","","2015 April Voter Registration - April 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Legislative","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 29","","","","","","","","","",""
"","","","Maricopa","33","12","","25,874","41","817","13,701","28,555","69,000"
"","","","TOTALS","33","12","","25,874","41","817","13,701","28,555","69,000"
"","","Legislative District 30","","","","","","","","","",""
"","","","Maricopa","29","10","","24,877","83","793","14,903","27,731","68,397"
"","","","TOTALS","29","10","","24,877","83","793","14,903","27,731","68,397"
"","","","STATE TOTALS","1,566","459","","923,283","4,757","26,651","1,106,853","1,173,687","3,235,690"
"Report Date/Time: 05/01/2015 01:31 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 6"
"","","","","","2015 April Voter Registration - April 1, 2015","","","","","",""
"","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","INACTIVE","","","","","",""
