,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Plainville,Hartford,5,2450,64,"2,514",3917,33,"3,950",121,1,122,G IT L,5037,90,"5,127","11,525",188,"11,713"
Plymouth,Litchfield,5,2002,67,"2,069",1953,85,"2,038",84,2,86,GL,4122,234,"4,356","8,161",388,"8,549"
Pomfret,Windham,2,717,40,757,875,56,931,32,1,33,G IT L WF,1139,141,"1,280","2,763",238,"3,001"
Portland,Middlesex,1,1425,72,"1,497",2189,157,"2,346",53,1,54,G IT L WF,2562,287,"2,849","6,229",517,"6,746"
Preston,New London,2,895,69,964,807,60,867,47,3,50,G IT L,1428,204,"1,632","3,177",336,"3,513"
Prospect,New Haven,3,2232,60,"2,292",1423,40,"1,463",89,6,95,G IT L,2985,168,"3,153","6,729",274,"7,003"
Putnam,Windham,2,1121,19,"1,140",1834,27,"1,861",105,5,110,G IT L WF,2711,64,"2,775","5,771",115,"5,886"
Redding,Fairfield,4,2199,77,"2,276",2315,75,"2,390",95,5,100,G IT L WF,2712,119,"2,831","7,321",276,"7,597"
Ridgefield,Fairfield,4,6266,334,"6,600",5286,284,"5,570",198,7,205,G IT L,6455,403,"6,858","18,205","1,028","19,233"
Rocky Hill,Hartford,1,2643,117,"2,760",4663,285,"4,948",59,2,61,G IT L,4938,370,"5,308","12,303",774,"13,077"
Roxbury,Litchfield,5,535,2,537,537,5,542,21,0,21,G IT L WF,739,10,749,"1,832",17,"1,849"
Salem,New London,2,678,56,734,858,93,951,28,5,33,G IT L WF,1149,243,"1,392","2,713",397,"3,110"
Salisbury,Litchfield,5,591,78,669,1278,163,"1,441",39,11,50,G IT L,952,253,"1,205","2,860",505,"3,365"
Scotland,Windham,2,318,62,380,338,0,338,20,0,20,G IT L WF,542,0,542,"1,218",62,"1,280"
Seymour,New Haven,3,2584,0,"2,584",2488,78,"2,566",66,1,67,G IT L,5583,173,"5,756","10,721",252,"10,973"
Sharon,Litchfield,5,472,25,497,649,56,705,5,0,5,G IT L,599,94,693,"1,725",175,"1,900"
Shelton,Fairfield,"3,4",7430,205,"7,635",6028,100,"6,128",191,2,193,G IT L,12710,582,"13,292","26,359",889,"27,248"
Sherman,Fairfield,5,896,24,920,673,27,700,46,2,48,G IT L,1193,55,"1,248","2,808",108,"2,916"
Simsbury,Hartford,5,5414,183,"5,597",5634,184,"5,818",165,6,171,G IT L,6602,263,"6,865","17,815",636,"18,451"
Somers,Tolland,2,2030,170,"2,200",1336,147,"1,483",78,9,87,G IT L,2692,507,"3,199","6,136",833,"6,969"
South Windsor,Hartford,1,3786,172,"3,958",5968,319,"6,287",201,11,212,G IT L SWC WF,6621,535,"7,156","16,576","1,037","17,613"
Southbury,New Haven,5,4765,270,"5,035",3454,190,"3,644",215,11,226,G IT L,5969,607,"6,576","14,403","1,078","15,481"
Southington,Hartford,1,7191,504,"7,695",8164,721,"8,885",535,42,577,G IT L,12180,1839,"14,019","28,070","3,106","31,176"
Sprague,New London,2,407,21,428,654,51,705,22,0,22,G IT L WF,790,89,879,"1,873",161,"2,034"
Stafford,Tolland,2,1712,49,"1,761",2721,50,"2,771",108,1,109,GL,3503,116,"3,619","8,044",216,"8,260"
Stamford,Fairfield,4,14010,488,"14,498",27426,1209,"28,635",1278,73,"1,351",G IT L,24930,1341,"26,271","67,644","3,111","70,755"
Sterling,Windham,2,585,2,587,497,9,506,41,0,41,IT L,1371,15,"1,386","2,494",26,"2,520"
Stonington,New London,2,2971,113,"3,084",4520,133,"4,653",139,1,140,G IT L WF,5949,207,"6,156","13,579",454,"14,033"
Stratford,Fairfield,3,6614,121,"6,735",11836,286,"12,122",320,9,329,G IT L,16026,409,"16,435","34,796",825,"35,621"
Suffield,Hartford,2,2678,125,"2,803",2485,134,"2,619",240,19,259,G IT L,3719,341,"4,060","9,122",619,"9,741"
Thomaston,Litchfield,5,1430,103,"1,533",1106,128,"1,234",57,4,61,G IT L,2316,302,"2,618","4,909",537,"5,446"
Thompson,Windham,2,1271,30,"1,301",1707,58,"1,765",63,0,63,G IT L,2976,113,"3,089","6,017",201,"6,218"
Tolland,Tolland,2,2501,128,"2,629",2772,168,"2,940",152,14,166,GL,4753,341,"5,094","10,178",651,"10,829"
Torrington,Litchfield,"1,5",5167,144,"5,311",6298,162,"6,460",294,12,306,G IT L WF,8856,316,"9,172","20,615",634,"21,249"
Trumbull,Fairfield,4,6834,182,"7,016",6990,219,"7,209",168,2,170,G IT L,11929,401,"12,330","25,921",804,"26,725"
Union,Tolland,2,228,1,229,134,2,136,13,0,13,G IT L,229,6,235,604,9,613
Vernon,Tolland,2,3296,281,"3,577",5390,578,"5,968",299,14,313,IT L,7429,1330,"8,759","16,414","2,203","18,617"
Voluntown,New London,2,425,36,461,434,64,498,24,2,26,G I IT L,742,152,894,"1,625",254,"1,879"
Wallingford,New Haven,3,5713,292,"6,005",7576,520,"8,096",268,8,276,G IT L,13497,1276,"14,773","27,054","2,096","29,150"
Warren,Litchfield,5,367,0,367,267,2,269,10,0,10,G IT L RF,419,4,423,"1,063",6,"1,069"
Washington,Litchfield,5,767,4,771,872,6,878,48,0,48,G IT L RF,934,12,946,"2,621",22,"2,643"
Waterbury,New Haven,"3,5",7819,253,"8,072",28190,1060,"29,250",909,37,946,G WF,24295,1072,"25,367","61,213","2,422","63,635"
Waterford,New London,2,2952,101,"3,053",4300,134,"4,434",163,1,164,G I IT L RF WF,6334,207,"6,541","13,749",443,"14,192"
Watertown,Litchfield,5,4493,32,"4,525",3628,44,"3,672",224,5,229,G IT L,7364,98,"7,462","15,709",179,"15,888"
West Hartford,Hartford,1,7391,259,"7,650",20285,619,"20,904",514,24,538,G IT L,15342,601,"15,943","43,532","1,503","45,035"
West Haven,New Haven,3,3137,411,"3,548",15858,2563,"18,421",201,14,215,BF G IT L,8750,2268,"11,018","27,946","5,256","33,202"
Westbrook,Middlesex,2,1338,21,"1,359",1208,33,"1,241",80,0,80,G IT L WF,2079,76,"2,155","4,705",130,"4,835"
Weston,Fairfield,4,1934,135,"2,069",2464,221,"2,685",87,6,93,G IT L RF,2466,348,"2,814","6,951",710,"7,661"
Westport,Fairfield,4,4726,443,"5,169",6906,590,"7,496",165,15,180,G IT L,6602,863,"7,465","18,399","1,911","20,310"
Wethersfield,Hartford,1,3782,248,"4,030",6756,578,"7,334",160,6,166,GI L,6597,881,"7,478","17,295","1,713","19,008"
Willington,Tolland,2,827,55,882,1160,102,"1,262",50,7,57,G IT L SP WF,1556,277,"1,833","3,593",441,"4,034"
Wilton,Fairfield,4,4335,113,"4,448",3527,115,"3,642",74,4,78,G IT L WF,4718,204,"4,922","12,654",436,"13,090"
Winchester,Litchfield,1,1641,199,"1,840",1650,280,"1,930",64,3,67,G IT L WF,2844,814,"3,658","6,199","1,296","7,495"
Windham,Windham,2,1419,416,"1,835",4688,1425,"6,113",170,41,211,GW,4634,2374,"7,008","10,911","4,256","15,167"
Windsor,Hartford,1,3032,114,"3,146",10340,320,"10,660",197,11,208,G IT L WF,7864,335,"8,199","21,433",780,"22,213"
Windsor Locks,Hartford,1,1562,98,"1,660",2616,135,"2,751",110,4,114,G IT L WF,3692,263,"3,955","7,980",500,"8,480"
Wolcott,New Haven,5,3309,44,"3,353",2772,29,"2,801",226,3,229,G IT L WF,5737,97,"5,834","12,044",173,"12,217"
Woodbridge,New Haven,3,1460,38,"1,498",2579,63,"2,642",68,2,70,G IT L,2906,106,"3,012","7,013",209,"7,222"
Woodbury,Litchfield,5,2673,65,"2,738",1854,51,"1,905",187,5,192,G IT L,2784,86,"2,870","7,498",207,"7,705"
Woodstock,Windham,2,1725,119,"1,844",1490,117,"1,607",124,10,134,G IT L,2138,254,"2,392","5,477",500,"5,977"
Totals,,,467687,24537,"492,224",810136,59705,"869,841",28050,1582,29632,,881476,84560,"966,036","2,187,349",170384,"2,357,733"
