,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Town,County,CD,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Totals,M Notes,Active,Inactive,Total,Active,Inactive,Totals
Andover,Tolland,2,601,1,602,752,1,753,40,0,40,G IT L,865,6,871,"2,258",8,"2,266"
Ansonia,New Haven,3,1649,57,"1,706",3366,177,"3,543",109,1,110,G IT WF,4334,266,"4,600","9,458",501,"9,959"
Ashford,Windham,2,615,34,649,1035,63,"1,098",34,2,36,G IT L,1221,163,"1,384","2,905",262,"3,167"
Avon,Hartford,5,4145,281,"4,426",3748,295,"4,043",101,7,108,G IT L WF,4910,616,"5,526","12,904","1,199","14,103"
Barkhamsted,Litchfield,1,868,13,881,724,28,752,29,0,29,G IT L,1177,53,"1,230","2,798",94,"2,892"
Beacon Falls,New Haven,3,1102,30,"1,132",1143,33,"1,176",59,0,59,G IT L,2063,83,"2,146","4,367",146,"4,513"
Berlin,Hartford,1,3618,146,"3,764",4975,231,"5,206",74,3,77,G IT L WF,5452,403,"5,855","14,119",783,"14,902"
Bethany,New Haven,3,1172,32,"1,204",1153,39,"1,192",47,2,49,G IT L,1842,78,"1,920","4,214",151,"4,365"
Bethel,Fairfield,5,3435,66,"3,501",3439,82,"3,521",196,3,199,G IT L PRO WF,5354,196,"5,550","12,424",347,"12,771"
Bethlehem,Litchfield,5,904,38,942,681,56,737,51,1,52,G IT L,1127,164,"1,291","2,763",259,"3,022"
Bloomfield,Hartford,1,1469,210,"1,679",8577,1005,"9,582",128,4,132,G IT L WF,3989,983,"4,972","14,163","2,202","16,365"
Bolton,Tolland,2,1019,46,"1,065",1052,74,"1,126",50,4,54,G IT L,1361,125,"1,486","3,482",249,"3,731"
Bozrah,New London,2,362,17,379,616,16,632,42,3,45,IT L,791,33,824,"1,811",69,"1,880"
Branford,New Haven,3,3686,98,"3,784",6889,195,"7,084",170,1,171,G I IT L WF,9526,277,"9,803","20,271",571,"20,842"
Bridgeport,Fairfield,4,4178,846,"5,024",45748,7225,"52,973",373,20,393,G I IT L RF WF,18348,4453,"22,801","68,647","12,544","81,191"
Bridgewater,Litchfield,5,433,0,433,417,0,417,22,0,22,IT L,463,0,463,"1,335",0,"1,335"
Bristol,Hartford,1,7028,395,"7,423",13236,974,"14,210",534,17,551,G I IT L WF,14206,1564,"15,770","35,004","2,950","37,954"
Brookfield,Fairfield,5,3842,236,"4,078",2617,169,"2,786",232,16,248,ABP G IT L UIT,4871,532,"5,403","11,562",953,"12,515"
Brooklyn,Windham,2,1228,36,"1,264",1443,43,"1,486",86,3,89,G IT L WF,2624,102,"2,726","5,381",184,"5,565"
Burlington,Hartford,5,1907,62,"1,969",1719,83,"1,802",74,3,77,G IT L,2699,200,"2,899","6,399",348,"6,747"
Canaan,Litchfield,5,186,5,191,270,10,280,5,0,5,G IT,292,15,307,753,30,783
Canterbury,Windham,2,1073,17,"1,090",799,22,821,60,1,61,CF G IT L WF,1599,75,"1,674","3,531",115,"3,646"
Canton,Hartford,5,2303,71,"2,374",2371,88,"2,459",86,7,93,G IT L,2853,146,"2,999","7,613",312,"7,925"
Chaplin,Windham,2,464,4,468,422,11,433,13,0,13,G IT,560,20,580,"1,459",35,"1,494"
Cheshire,New Haven,5,4862,309,"5,171",5193,359,"5,552",197,19,216,G IT L WF,8493,1182,"9,675","18,745","1,869","20,614"
Chester,Middlesex,2,555,27,582,1045,63,"1,108",43,4,47,G IT L,1044,95,"1,139","2,687",189,"2,876"
Clinton,Middlesex,2,2488,130,"2,618",2839,86,"2,925",162,6,168,G IT L,4161,325,"4,486","9,650",547,"10,197"
Colchester,New London,2,2636,56,"2,692",3359,77,"3,436",164,4,168,G IT L,5046,113,"5,159","11,205",250,"11,455"
Colebrook,Litchfield,1,303,15,318,277,16,293,17,1,18,G IT L WF,458,39,497,"1,055",71,"1,126"
Columbia,Tolland,2,986,16,"1,002",1292,23,"1,315",145,7,152,G IT L WF,1479,54,"1,533","3,902",100,"4,002"
Cornwall,Litchfield,5,208,4,212,459,10,469,8,0,8,GL,392,12,404,"1,067",26,"1,093"
Coventry,Tolland,2,1939,93,"2,032",2473,146,"2,619",92,5,97,G IT L WF,3715,313,"4,028","8,219",557,"8,776"
Cromwell,Middlesex,1,2313,36,"2,349",3442,62,"3,504",129,4,133,G IT L,4329,106,"4,435","10,213",208,"10,421"
Danbury,Fairfield,5,8004,174,"8,178",12818,390,"13,208",641,22,663,G IT L WF,18458,679,"19,137","39,921","1,265","41,186"
Darien,Fairfield,4,6205,223,"6,428",2804,126,"2,930",123,2,125,G IT L,4961,336,"5,297","14,093",687,"14,780"
Deep River,Middlesex,2,700,5,705,1170,24,"1,194",46,1,47,G IT L WF,1522,29,"1,551","3,438",59,"3,497"
Derby,New Haven,3,1104,119,"1,223",2446,337,"2,783",80,2,82,G IT L,2809,660,"3,469","6,439","1,118","7,557"
Durham,Middlesex,3,1581,57,"1,638",1324,53,"1,377",48,0,48,G IT L,2379,102,"2,481","5,332",212,"5,544"
East Granby,Hartford,1,1052,28,"1,080",1084,27,"1,111",62,1,63,G IT L WF,1569,62,"1,631","3,767",118,"3,885"
East Haddam,Middlesex,2,1666,21,"1,687",1967,34,"2,001",82,0,82,G IT L WF,2845,50,"2,895","6,560",105,"6,665"
East Hampton,Middlesex,2,2086,100,"2,186",2614,142,"2,756",119,4,123,CHA G IT L WF,4054,388,"4,442","8,873",634,"9,507"
East Hartford,Hartford,1,2956,177,"3,133",13868,870,"14,738",220,7,227,F G IT L WF,11654,1102,"12,756","28,698","2,156","30,854"
East Haven,New Haven,3,3351,78,"3,429",5938,182,"6,120",242,7,249,G IT L WF,7568,376,"7,944","17,099",643,"17,742"
East Lyme,New London,2,3025,215,"3,240",3956,326,"4,282",103,4,107,G IT L WF,5322,779,"6,101","12,406","1,324","13,730"
East Windsor,Hartford,1,1686,38,"1,724",2530,51,"2,581",99,1,100,G IT L WF,3699,87,"3,786","8,014",177,"8,191"
Eastford,Windham,4,443,19,462,317,11,328,9,0,9,G IT L WF,451,18,469,"1,220",48,"1,268"
Easton,Fairfield,4,1837,67,"1,904",1403,48,"1,451",63,4,67,G IT L WF,2373,133,"2,506","5,676",252,"5,928"
Ellington,Tolland,2,2838,111,"2,949",2560,149,"2,709",145,8,153,G IT L,4962,285,"5,247","10,505",553,"11,058"
Enfield,Hartford,2,5419,726,"6,145",8172,1259,"9,431",540,52,592,ETP G I IT L WF,9722,2483,"12,205","23,853","4,520","28,373"
Essex,Middlesex,2,1466,45,"1,511",1667,39,"1,706",55,2,57,G IT L,1895,73,"1,968","5,083",159,"5,242"
Fairfield,Fairfield,4,11655,404,"12,059",12100,437,"12,537",544,24,568,G I IT L RF WF,16324,829,"17,153","40,623","1,694","42,317"
Farmington,Hartford,5,4861,186,"5,047",5984,234,"6,218",224,12,236,G I IT L WF,7867,358,"8,225","18,936",790,"19,726"
Franklin,New London,2,353,9,362,363,15,378,17,2,19,G IT L,579,44,623,"1,312",70,"1,382"
Glastonbury,Hartford,"1,2",6337,308,"6,645",7648,537,"8,185",267,13,280,G IT L,9228,777,"10,005","23,480","1,635","25,115"
Goshen,Litchfield,5,816,14,830,560,13,573,44,1,45,G IT L WF,846,21,867,"2,266",49,"2,315"
Granby,Hartford,1,2495,142,"2,637",2091,109,"2,200",112,10,122,G IT L,2993,225,"3,218","7,691",486,"8,177"
Greenwich,Fairfield,4,13530,1142,"14,672",9918,1096,"11,014",565,62,627,G I IT L WF,13749,2170,"15,919","37,762","4,470","42,232"
Griswold,New London,2,1662,31,"1,693",2308,106,"2,414",155,7,162,G IT L WF,3186,162,"3,348","7,311",306,"7,617"
Groton,New London,2,3962,802,"4,764",6138,1244,"7,382",184,28,212,G IT L WF,8477,3198,"11,675","18,761","5,272","24,033"
Guilford,New Haven,3,3589,277,"3,866",5538,459,"5,997",172,8,180,G I IT L RF,6233,892,"7,125","15,532","1,636","17,168"
Haddam,Middlesex,2,1550,56,"1,606",1857,66,"1,923",50,1,51,G I IT L RF,2660,183,"2,843","6,117",306,"6,423"
Hamden,New Haven,3,4173,485,"4,658",16666,1776,"18,442",396,34,430,G I IT L SGP WF,11872,2277,"14,149","33,107","4,572","37,679"
Hampton,Windham,2,351,13,364,406,37,443,23,0,23,G IT L,489,50,539,"1,269",100,"1,369"
Hartford,Hartford,1,2201,224,"2,425",40277,3355,"43,632",447,29,476,G IT L WF,15138,1492,"16,630","58,063","5,100","63,163"
Hartland,Hartford,1,639,33,672,346,8,354,31,1,32,G IT,562,27,589,"1,578",69,"1,647"
Harwinton,Litchfield,5,1356,46,"1,402",1006,38,"1,044",56,2,58,G IT L,1772,154,"1,926","4,190",240,"4,430"
Hebron,Tolland,2,1828,37,"1,865",1956,37,"1,993",46,1,47,G IT L,3160,70,"3,230","6,990",145,"7,135"
Kent,Litchfield,5,464,25,489,832,30,862,18,0,18,G IT,743,55,798,"2,057",110,"2,167"
Killingly,Windham,2,1979,86,"2,065",2594,132,"2,726",169,5,174,G IT L WF,5259,320,"5,579","10,001",543,"10,544"
Killingworth,Middlesex,2,1418,73,"1,491",1247,54,"1,301",43,2,45,G IT L WF,2017,123,"2,140","4,725",252,"4,977"
Lebanon,New London,2,1308,103,"1,411",1272,127,"1,399",64,6,70,G IT L WF,2025,348,"2,373","4,669",584,"5,253"
Ledyard,New London,2,2513,196,"2,709",2419,183,"2,602",289,27,316,G IT L WF,3574,538,"4,112","8,795",944,"9,739"
Lisbon,New London,2,616,16,632,903,33,936,35,0,35,G IT L WF,1256,48,"1,304","2,810",97,"2,907"
Litchfield,Litchfield,5,1954,181,"2,135",1651,225,"1,876",86,8,94,G IT L,2119,470,"2,589","5,810",884,"6,694"
Lyme,New London,2,543,9,552,642,5,647,24,2,26,G IT L,700,20,720,"1,909",36,"1,945"
Madison,New Haven,2,4090,459,"4,549",3788,449,"4,237",153,9,162,G IT L WF,5086,906,"5,992","13,117","1,823","14,940"
Manchester,Hartford,1,5428,413,"5,841",12740,1137,"13,877",555,63,618,G I IT L WF,12243,1376,"13,619","30,966","2,989","33,955"
Mansfield,Tolland,2,2032,185,"2,217",6897,510,"7,407",192,18,210,G IT L WF,6672,1155,"7,827","15,793","1,868","17,661"
Marlborough,Hartford,2,1220,39,"1,259",1374,52,"1,426",98,3,101,G IT L,1740,83,"1,823","4,432",177,"4,609"
Meriden,New Haven,5,4880,372,"5,252",11482,1243,"12,725",316,12,328,G IT L WF,16440,2264,"18,704","33,118","3,891","37,009"
Middlebury,New Haven,5,2438,38,"2,476",1216,17,"1,233",77,0,77,G IT L,1938,29,"1,967","5,669",84,"5,753"
Middlefield,Middlesex,3,736,27,763,1011,61,"1,072",35,1,36,G IT L,1612,67,"1,679","3,394",156,"3,550"
Middletown,Middlesex,"1,3",4187,239,"4,426",12303,1235,"13,538",449,35,484,G IT L RB WF,9664,1251,"10,915","26,603","2,760","29,363"
Milford,New Haven,3,8254,186,"8,440",10495,310,"10,805",515,15,530,G IT L MIP WF,17325,456,"17,781","36,589",967,"37,556"
Monroe,Fairfield,4,3659,199,"3,858",2771,191,"2,962",162,7,169,G IT L,6341,754,"7,095","12,933","1,151","14,084"
Montville,New London,2,2061,158,"2,219",2882,280,"3,162",139,3,142,G IM IT L,4888,820,"5,708","9,970","1,261","11,231"
Morris,Litchfield,5,725,4,729,401,3,404,29,0,29,G IT L,666,5,671,"1,821",12,"1,833"
Naugatuck,New Haven,3,4159,200,"4,359",6068,389,"6,457",294,23,317,G IT L WF,8551,710,"9,261","19,072","1,322","20,394"
New Britain,Hartford,5,3443,482,"3,925",16293,3507,"19,800",466,75,541,G IT L WF,11534,3933,"15,467","31,736","7,997","39,733"
New Canaan,Fairfield,4,6636,348,"6,984",2998,176,"3,174",120,10,130,G IT L,4295,306,"4,601","14,049",840,"14,889"
New Fairfield,Fairfield,5,3337,10,"3,347",2309,7,"2,316",190,1,191,G IC IT L WF,4631,26,"4,657","10,467",44,"10,511"
New Hartford,Litchfield,1,1553,61,"1,614",1304,64,"1,368",112,10,122,G IT L WF,1863,170,"2,033","4,832",305,"5,137"
New Haven,New Haven,3,3200,275,"3,475",52626,3651,"56,277",609,45,654,G IT L RF WF,21707,1822,"23,529","78,142","5,793","83,935"
New London,New London,2,1485,74,"1,559",7865,703,"8,568",185,10,195,G IT L WF,6135,701,"6,836","15,670","1,488","17,158"
New Milford,Litchfield,5,4961,193,"5,154",4599,143,"4,742",273,15,288,G IT L,7712,359,"8,071","17,545",710,"18,255"
Newington,Hartford,1,3679,257,"3,936",7823,488,"8,311",298,12,310,G IT L WF,7554,814,"8,368","19,354","1,571","20,925"
Newtown,Fairfield,5,5777,192,"5,969",5172,168,"5,340",361,15,376,G IT L WF,7301,293,"7,594","18,611",668,"19,279"
Norfolk,Litchfield,5,229,23,252,443,19,462,14,2,16,G IT L WF,476,68,544,"1,162",112,"1,274"
North Branford,New Haven,3,2360,30,"2,390",2245,46,"2,291",90,0,90,G IT L,5032,89,"5,121","9,727",165,"9,892"
North Canaan,Litchfield,5,615,0,615,581,0,581,25,0,25,G IT L,1040,0,"1,040","2,261",0,"2,261"
North Haven,New Haven,3,4347,70,"4,417",4296,108,"4,404",173,2,175,G IT L WF,7945,227,"8,172","16,761",407,"17,168"
North Stonington,New London,2,1214,7,"1,221",1030,1,"1,031",42,1,43,G IT L,1883,9,"1,892","4,169",18,"4,187"
Norwalk,Fairfield,4,9626,511,"10,137",18754,1269,"20,023",986,76,"1,062",G IT L WF,20488,1408,"21,896","49,854","3,264","53,118"
Norwich,New London,2,3050,475,"3,525",7278,1299,"8,577",342,54,396,G IT L RF WF,8161,2588,"10,749","18,831","4,416","23,247"
Old Lyme,New London,2,1763,187,"1,950",1727,244,"1,971",70,3,73,G IT L,2126,537,"2,663","5,686",971,"6,657"
Old Saybrook,Middlesex,2,2519,86,"2,605",2395,68,"2,463",99,2,101,G IT L,3185,138,"3,323","8,198",294,"8,492"
Orange,New Haven,3,2732,70,"2,802",2682,69,"2,751",132,1,133,G IT L WF,5225,177,"5,402","10,771",317,"11,088"
Oxford,New Haven,4,3075,158,"3,233",1613,111,"1,724",152,14,166,G IT L,4169,397,"4,566","9,009",680,"9,689"
Plainfield,Windham,2,1897,27,"1,924",3121,58,"3,179",177,5,182,G IT L WF,4443,101,"4,544","9,638",191,"9,829"
