,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Bridgeport,Fairfield,4,3531,1107,"4,638",38589,9841,"48,430",256,32,288,G I IT L RF WF,15724,5873,"21,597","58,100","16,853","74,953"
Bridgewater,Litchfield,5,399,2,401,384,3,387,13,0,13,G IT L,475,2,477,"1,271",7,"1,278"
Bristol,Hartford,1,5714,463,"6,177",12559,1194,"13,753",348,14,362,G I IT L RF,12886,2185,"15,071","31,507","3,856","35,363"
Brookfield,Fairfield,5,3371,309,"3,680",2038,249,"2,287",152,30,182,G IT L,4193,765,"4,958","9,754","1,353","11,107"
Brooklyn,Windham,2,989,23,"1,012",1299,64,"1,363",81,2,83,G IT L WF,2435,121,"2,556","4,804",210,"5,014"
Burlington,Hartford,5,1657,17,"1,674",1634,13,"1,647",53,2,55,G IT L,2741,38,"2,779","6,085",70,"6,155"
Canaan,Litchfield,5,192,4,196,254,7,261,4,0,4,G,314,6,320,764,17,781
Canterbury,Windham,2,968,26,994,743,32,775,38,0,38,G IT L,1548,104,"1,652","3,297",162,"3,459"
Canton,Hartford,5,2099,56,"2,155",2119,80,"2,199",72,5,77,G IT L,2713,160,"2,873","7,003",301,"7,304"
Chaplin,Windham,2,430,3,433,380,16,396,1,0,1,G,517,16,533,"1,328",35,"1,363"
Cheshire,New Haven,5,4213,347,"4,560",4497,434,"4,931",135,22,157,G I IT L WF,8188,1390,"9,578","17,033","2,193","19,226"
Chester,Middlesex,2,467,21,488,900,66,966,32,1,33,G IT L,1028,89,"1,117","2,427",177,"2,604"
Clinton,Middlesex,2,2250,49,"2,299",2514,62,"2,576",142,1,143,G IT L,4303,93,"4,396","9,209",205,"9,414"
Colchester,New London,2,2175,74,"2,249",2967,102,"3,069",97,5,102,L G IT L,4901,155,"5,056","10,140",336,"10,476"
Colebrook,Litchfield,1,280,6,286,275,6,281,18,0,18,G IT L WF,502,10,512,"1,075",22,"1,097"
Columbia,Tolland,2,830,18,848,1173,24,"1,197",221,4,225,G IT L WF,1350,30,"1,380","3,574",76,"3,650"
Cornwall,Litchfield,5,190,6,196,395,23,418,7,0,7,G L,391,38,429,983,67,"1,050"
Coventry,Tolland,2,1570,102,"1,672",2146,163,"2,309",46,4,50,G IT L WF,3532,387,"3,919","7,294",656,"7,950"
Cromwell,Middlesex,1,1957,70,"2,027",3143,119,"3,262",94,8,102,G IT L,4063,159,"4,222","9,257",356,"9,613"
Danbury,Fairfield,5,6857,208,"7,065",10737,487,"11,224",506,22,528,G IT L RF,16533,836,"17,369","34,633","1,553","36,186"
Darien,Fairfield,4,5835,319,"6,154",2278,176,"2,454",56,2,58,G L,4082,486,"4,568","12,251",983,"13,234"
Deep River,Middlesex,2,609,13,622,1031,41,"1,072",26,4,30,G IT L,1472,60,"1,532","3,138",118,"3,256"
Derby,New Haven,3,824,138,962,2203,405,"2,608",50,6,56,G L,2321,728,"3,049","5,398","1,277","6,675"
Durham,Middlesex,3,1371,41,"1,412",1173,48,"1,221",34,1,35,G IT L,2439,91,"2,530","5,017",181,"5,198"
East Granby,Hartford,1,979,20,999,959,25,984,37,1,38,G IT L,1509,66,"1,575","3,484",112,"3,596"
East Haddam,Middlesex,2,1298,28,"1,326",1727,42,"1,769",55,2,57,G IT L WF,2761,85,"2,846","5,841",157,"5,998"
East Hampton,Middlesex,2,1672,131,"1,803",2302,213,"2,515",87,8,95,G I IT L,3631,558,"4,189","7,692",910,"8,602"
East Hartford,Hartford,1,2564,189,"2,753",12443,988,"13,431",144,6,150,G IT L WF,10371,1216,"11,587","25,522","2,399","27,921"
East Haven,New Haven,3,2441,171,"2,612",5509,449,"5,958",153,10,163,G I IT L RF WF,6818,775,"7,593","14,921","1,405","16,326"
East Lyme,New London,2,2566,250,"2,816",3287,449,"3,736",38,4,42,G IT L WF,4887,965,"5,852","10,778","1,668","12,446"
East Windsor,Hartford,1,1431,40,"1,471",2284,78,"2,362",51,1,52,G L,3420,126,"3,546","7,186",245,"7,431"
Eastford,Windham,4,412,11,423,297,4,301,6,0,6,G IT L,451,14,465,"1,166",29,"1,195"
Easton,Fairfield,4,1692,78,"1,770",1136,53,"1,189",45,2,47,G IT L WF,2269,118,"2,387","5,142",251,"5,393"
Ellington,Tolland,2,2203,132,"2,335",2246,160,"2,406",122,9,131,G IT L,4738,340,"5,078","9,309",641,"9,950"
Enfield,Hartford,2,4556,746,"5,302",7670,1313,"8,983",403,44,447,ETP G I IT L WF,9009,2730,"11,739","21,638","4,833","26,471"
Essex,Middlesex,2,1342,34,"1,376",1419,47,"1,466",41,1,42,G IT L,1852,82,"1,934","4,654",164,"4,818"
Fairfield,Fairfield,4,10721,606,"11,327",10199,677,"10,876",356,29,385,G I IT L RF WF,15545,1159,"16,704","36,821","2,471","39,292"
Farmington,Hartford,5,4422,212,"4,634",5154,279,"5,433",184,6,190,G I IT L WF,7423,437,"7,860","17,183",934,"18,117"
Franklin,New London,2,295,11,306,338,24,362,9,2,11,G IT L,547,54,601,"1,189",91,"1,280"
Glastonbury,Hartford,"1,2",5589,372,"5,961",6676,666,"7,342",155,16,171,G IT L,8515,1039,"9,554","20,935","2,093","23,028"
Goshen,Litchfield,5,746,9,755,499,10,509,30,0,30,G IT L,750,24,774,"2,025",43,"2,068"
Granby,Hartford,1,2233,148,"2,381",1825,130,"1,955",89,13,102,G IT L,2846,316,"3,162","6,993",607,"7,600"
Greenwich,Fairfield,4,12345,1411,"13,756",7858,1366,"9,224",361,48,409,G I IT L WF,11720,2598,"14,318","32,284","5,423","37,707"
Griswold,New London,2,1314,33,"1,347",2161,116,"2,277",115,5,120,G IT L,2946,197,"3,143","6,536",351,"6,887"
Groton,New London,2,3609,478,"4,087",5263,784,"6,047",116,14,130,G IT L WF,8917,1807,"10,724","17,905","3,083","20,988"
Guilford,New Haven,3,3183,333,"3,516",4743,551,"5,294",94,5,99,G I IT L RF,5995,1113,"7,108","14,015","2,002","16,017"
Haddam,Middlesex,2,1303,61,"1,364",1698,68,"1,766",39,0,39,G I IT L RF,2682,189,"2,871","5,722",318,"6,040"
Hamden,New Haven,3,3922,172,"4,094",15817,677,"16,494",278,11,289,G I IT L RF,12951,626,"13,577","32,968","1,486","34,454"
Hampton,Windham,2,308,24,332,383,47,430,17,3,20,G IT L THP,470,81,551,"1,178",155,"1,333"
Hartford,Hartford,1,1788,387,"2,175",34809,6434,"41,243",330,26,356,G IT L WF,11443,2801,"14,244","48,370","9,648","58,018"
Hartland,Hartford,1,611,18,629,330,10,340,25,1,26,G IT,553,16,569,"1,519",45,"1,564"
Harwinton,Litchfield,5,1220,31,"1,251",933,40,973,43,3,46,G I IT L,1865,91,"1,956","4,061",165,"4,226"
Hebron,Tolland,2,1598,23,"1,621",1750,25,"1,775",31,0,31,G IT L,3069,42,"3,111","6,448",90,"6,538"
Kent,Litchfield,5,455,22,477,703,42,745,2,0,2,G,728,51,779,"1,888",115,"2,003"
Killingly,Windham,2,1574,36,"1,610",2481,69,"2,550",116,4,120,IT,5107,162,"5,269","9,278",271,"9,549"
Killingworth,Middlesex,2,1271,66,"1,337",1047,58,"1,105",30,2,32,G IT L WF,1919,174,"2,093","4,267",300,"4,567"
Lebanon,New London,2,1126,95,"1,221",1142,120,"1,262",47,5,52,G IT L WF,1965,317,"2,282","4,280",537,"4,817"
Ledyard,New London,2,2280,242,"2,522",2180,220,"2,400",295,34,329,G IT L WF,3590,611,"4,201","8,345","1,107","9,452"
Lisbon,New London,2,516,16,532,856,30,886,21,0,21,G IT L,1183,72,"1,255","2,576",118,"2,694"
Litchfield,Litchfield,5,1787,247,"2,034",1387,276,"1,663",64,9,73,G IT L WF,1936,576,"2,512","5,174","1,108","6,282"
Lyme,New London,2,534,16,550,543,19,562,20,0,20,G IT L,691,37,728,"1,788",72,"1,860"
Madison,New Haven,2,4083,223,"4,306",3485,197,"3,682",98,1,99,G IT L,5467,365,"5,832","13,133",786,"13,919"
Manchester,Hartford,1,4796,809,"5,605",10499,2054,"12,553",463,94,557,G I IT L RF,10776,3088,"13,864","26,534","6,045","32,579"
Mansfield,Tolland,2,1411,392,"1,803",4374,1106,"5,480",158,33,191,G IT L WF,5410,2232,"7,642","11,353","3,763","15,116"
Marlborough,Hartford,2,1029,44,"1,073",1204,62,"1,266",74,5,79,G IT L,1708,115,"1,823","4,015",226,"4,241"
Meriden,New Haven,5,3928,442,"4,370",9938,1591,"11,529",209,16,225,G IT L,14444,2823,"17,267","28,519","4,872","33,391"
Middlebury,New Haven,5,2304,39,"2,343",1053,24,"1,077",54,0,54,G L,1767,34,"1,801","5,178",97,"5,275"
Middlefield,Middlesex,3,622,22,644,944,42,986,23,0,23,G IT L,1552,51,"1,603","3,141",115,"3,256"
Middletown,Middlesex,"1,3",3387,374,"3,761",10139,1897,"12,036",288,47,335,G IT L WF,8132,1728,"9,860","21,946","4,046","25,992"
Milford,New Haven,3,7002,224,"7,226",9049,355,"9,404",331,17,348,G IT L,16618,625,"17,243","33,000","1,221","34,221"
Monroe,Fairfield,4,3175,256,"3,431",2333,250,"2,583",76,7,83,F G I IT L MIP RF WF,6128,1007,"7,135","11,712","1,520","13,232"
Montville,New London,2,1558,209,"1,767",2447,364,"2,811",81,7,88,G IT L,4317,1073,"5,390","8,403","1,653","10,056"
Morris,Litchfield,5,623,17,640,364,15,379,15,1,16,G IM IT L,657,28,685,"1,659",61,"1,720"
Naugatuck,New Haven,3,3289,151,"3,440",5490,312,"5,802",240,26,266,G IT L,7864,554,"8,418","16,883","1,043","17,926"
New Britain,Hartford,5,2820,555,"3,375",13419,4293,"17,712",343,93,436,G IT L WF,8909,4696,"13,605","25,491","9,637","35,128"
New Canaan,Fairfield,4,6517,305,"6,822",2502,159,"2,661",63,8,71,G I IT L RF WF,3710,328,"4,038","12,792",800,"13,592"
New Fairfield,Fairfield,5,2926,7,"2,933",1978,7,"1,985",151,1,152,G IT L,4455,12,"4,467","9,510",27,"9,537"
New Hartford,Litchfield,1,1325,70,"1,395",1138,69,"1,207",104,4,108,G IT L WF,1774,190,"1,964","4,341",333,"4,674"
New Haven,New Haven,3,2496,378,"2,874",48794,4834,"53,628",412,46,458,G IT L,18704,2219,"20,923","70,406","7,477","77,883"
New London,New London,2,1346,44,"1,390",6685,262,"6,947",156,3,159,G IT L RF WF,6091,276,"6,367","14,278",585,"14,863"
New Milford,Litchfield,5,4474,226,"4,700",3876,227,"4,103",237,13,250,G IT L,7686,494,"8,180","16,273",960,"17,233"
Newington,Hartford,1,3057,295,"3,352",7245,599,"7,844",243,22,265,G I IT L RF WF,6859,1000,"7,859","17,404","1,916","19,320"
Newtown,Fairfield,5,5215,229,"5,444",4443,208,"4,651",323,17,340,G IT L WF,7105,304,"7,409","17,086",758,"17,844"
Norfolk,Litchfield,5,215,15,230,368,20,388,12,2,14,G IT L WF,439,88,527,"1,034",125,"1,159"
North Branford,New Haven,3,1826,14,"1,840",2078,28,"2,106",46,0,46,L,4960,62,"5,022","8,910",104,"9,014"
North Canaan,Litchfield,5,549,0,549,458,0,458,20,0,20,G IT L,953,0,953,"1,980",0,"1,980"
North Haven,New Haven,3,3658,95,"3,753",3694,135,"3,829",83,5,88,G IT L WF,7794,302,"8,096","15,229",537,"15,766"
North Stonington,New London,2,1069,3,"1,072",916,1,917,31,0,31,G IT L,1780,5,"1,785","3,796",9,"3,805"
Norwalk,Fairfield,4,8632,562,"9,194",16037,1162,"17,199",928,74,"1,002",G IT L,18363,1840,"20,203","43,960","3,638","47,598"
Norwich,New London,2,2215,633,"2,848",5970,1805,"7,775",178,58,236,G IT L RF WF,6883,3515,"10,398","15,246","6,011","21,257"
Old Lyme,New London,2,1587,202,"1,789",1512,260,"1,772",50,4,54,G I IT L WF,1945,621,"2,566","5,094","1,087","6,181"
Old Saybrook,Middlesex,2,2333,115,"2,448",2082,113,"2,195",78,4,82,G IT L,3032,180,"3,212","7,525",412,"7,937"
Orange,New Haven,3,2441,21,"2,462",2495,25,"2,520",98,1,99,G IT L,5311,61,"5,372","10,345",108,"10,453"
Oxford,New Haven,4,2684,69,"2,753",1435,62,"1,497",145,4,149,G IT L,4291,159,"4,450","8,555",294,"8,849"
Plainfield,Windham,2,1524,26,"1,550",2958,66,"3,024",129,4,133,G IT L,4012,114,"4,126","8,623",210,"8,833"
Plainville,Hartford,5,2071,23,"2,094",3759,34,"3,793",36,0,36,G IT L,4717,33,"4,750","10,583",90,"10,673"
Plymouth,Litchfield,5,1571,81,"1,652",1816,114,"1,930",46,0,46,G L,3948,299,"4,247","7,381",494,"7,875"
Pomfret,Windham,2,651,34,685,705,63,768,12,1,13,G IT L,1099,167,"1,266","2,467",265,"2,732"
Portland,Middlesex,1,1153,96,"1,249",1960,192,"2,152",21,2,23,G IT L WF,2342,393,"2,735","5,476",683,"6,159"
Preston,New London,2,796,68,864,716,75,791,35,1,36,G IT L,1423,226,"1,649","2,970",370,"3,340"
Prospect,New Haven,3,1861,82,"1,943",1266,59,"1,325",61,4,65,G IT L,2877,239,"3,116","6,065",384,"6,449"
Putnam,Windham,2,929,28,957,1695,55,"1,750",87,5,92,G IT L WF,2468,92,"2,560","5,179",180,"5,359"
Redding,Fairfield,4,2150,28,"2,178",2034,37,"2,071",73,1,74,G IT L WF,2703,43,"2,746","6,960",109,"7,069"
Ridgefield,Fairfield,4,5877,344,"6,221",4487,314,"4,801",140,10,150,G IT L,5942,427,"6,369","16,446","1,095","17,541"
Rocky Hill,Hartford,1,2234,146,"2,380",4119,392,"4,511",12,4,16,G IT L,4486,496,"4,982","10,851","1,038","11,889"
Roxbury,Litchfield,5,491,9,500,483,4,487,15,0,15,G IT L WF,694,9,703,"1,683",22,"1,705"
Salem,New London,2,595,66,661,774,106,880,23,6,29,G IT L WF,1010,277,"1,287","2,402",455,"2,857"
Salisbury,Litchfield,5,617,37,654,1141,98,"1,239",42,4,46,G IT L,1072,129,"1,201","2,872",268,"3,140"
Scotland,Windham,2,277,0,277,308,0,308,20,0,20,G IT L WF,515,0,515,"1,120",0,"1,120"
Seymour,New Haven,3,2070,87,"2,157",2141,98,"2,239",26,2,28,G IT L,5195,234,"5,429","9,432",421,"9,853"
Sharon,Litchfield,5,471,32,503,582,70,652,3,0,3,G IT L,566,108,674,"1,622",210,"1,832"
Shelton,Fairfield,"3,4",5967,191,"6,158",5016,69,"5,085",42,1,43,G IT L,11964,674,"12,638","22,989",935,"23,924"
Sherman,Fairfield,5,824,29,853,616,34,650,38,2,40,F G I L RF WF,1124,75,"1,199","2,602",140,"2,742"
Simsbury,Hartford,5,5104,177,"5,281",4760,192,"4,952",102,6,108,G IT L,6091,268,"6,359","16,057",643,"16,700"
Somers,Tolland,2,1646,163,"1,809",1236,158,"1,394",46,6,52,G I IT L WF,2656,569,"3,225","5,584",896,"6,480"
South Windsor,Hartford,1,3473,159,"3,632",5545,319,"5,864",121,5,126,G IT L,6321,483,"6,804","15,460",966,"16,426"
Southbury,New Haven,5,4292,426,"4,718",3057,280,"3,337",174,11,185,G IT L,5955,852,"6,807","13,478","1,569","15,047"
Southington,Hartford,1,6015,566,"6,581",7607,811,"8,418",429,43,472,G IT L,11625,1960,"13,585","25,676","3,380","29,056"
Sprague,New London,2,334,30,364,592,86,678,14,2,16,G IT L WF,710,117,827,"1,650",235,"1,885"
Stafford,Tolland,2,1362,48,"1,410",2675,55,"2,730",58,1,59,G L,3383,116,"3,499","7,478",220,"7,698"
Stamford,Fairfield,4,12660,582,"13,242",23564,1547,"25,111",1015,80,"1,095",G IT L,21491,1603,"23,094","58,730","3,812","62,542"
Sterling,Windham,2,446,8,454,433,5,438,39,0,39,G I IT L RF WF,1276,28,"1,304","2,194",41,"2,235"
Stonington,New London,2,2670,112,"2,782",3924,200,"4,124",64,4,68,IT L,5778,279,"6,057","12,436",595,"13,031"
Stratford,Fairfield,3,5832,142,"5,974",10268,350,"10,618",238,8,246,G IT L,15265,466,"15,731","31,603",966,"32,569"
Suffield,Hartford,2,2408,113,"2,521",2114,118,"2,232",196,21,217,G IT L RF,3546,316,"3,862","8,264",568,"8,832"
Thomaston,Litchfield,5,1123,114,"1,237",1059,159,"1,218",31,7,38,G IT L,2113,445,"2,558","4,326",725,"5,051"
Thompson,Windham,2,1003,30,"1,033",1609,60,"1,669",31,0,31,G IT L,2659,123,"2,782","5,302",213,"5,515"
Tolland,Tolland,2,2141,167,"2,308",2414,270,"2,684",136,15,151,G L,4535,629,"5,164","9,226","1,081","10,307"
Torrington,Litchfield,"1,5",4455,180,"4,635",5844,294,"6,138",209,13,222,G IT L WF,8383,484,"8,867","18,891",971,"19,862"
Trumbull,Fairfield,4,6124,193,"6,317",6083,234,"6,317",100,3,103,G IT L,11693,425,"12,118","24,000",855,"24,855"
Union,Tolland,2,222,6,228,136,2,138,12,0,12,G IT L,231,10,241,601,18,619
Vernon,Tolland,2,2705,355,"3,060",4353,755,"5,108",141,19,160,IT L,6805,1746,"8,551","14,004","2,875","16,879"
Voluntown,New London,2,303,58,361,393,91,484,14,2,16,G I IT L,639,202,841,"1,349",353,"1,702"
Wallingford,New Haven,3,4696,191,"4,887",6983,342,"7,325",141,7,148,G IT L,13208,883,"14,091","25,028","1,423","26,451"
Warren,Litchfield,5,337,0,337,216,0,216,4,0,4,G IT L RF,425,8,433,982,8,990
Washington,Litchfield,5,715,8,723,749,18,767,29,1,30,G IT L RF,913,24,937,"2,406",51,"2,457"
Waterbury,New Haven,"3,5",6861,277,"7,138",26786,1087,"27,873",808,36,844,G WF,21831,1040,"22,871","56,286","2,440","58,726"
Waterford,New London,2,2525,94,"2,619",3792,107,"3,899",119,2,121,G I IT L RF WF,6070,260,"6,330","12,506",463,"12,969"
Watertown,Litchfield,5,3739,105,"3,844",3440,109,"3,549",164,7,171,G IT L,7167,233,"7,400","14,510",454,"14,964"
West Hartford,Hartford,1,6774,247,"7,021",17491,681,"18,172",357,22,379,G IT L,14066,667,"14,733","38,688","1,617","40,305"
West Haven,New Haven,3,2403,438,"2,841",14625,2805,"17,430",123,12,135,G IT L,7508,2432,"9,940","24,659","5,687","30,346"
Westbrook,Middlesex,2,1156,39,"1,195",1012,46,"1,058",54,2,56,G IT L WF,1983,104,"2,087","4,205",191,"4,396"
Weston,Fairfield,4,1810,150,"1,960",2009,240,"2,249",42,8,50,G IT L RF,2181,384,"2,565","6,042",782,"6,824"
Westport,Fairfield,4,4433,507,"4,940",5729,690,"6,419",118,10,128,G IT L,5912,1060,"6,972","16,192","2,267","18,459"
Wethersfield,Hartford,1,3374,235,"3,609",6319,527,"6,846",81,9,90,G I L,6393,762,"7,155","16,167","1,533","17,700"
Willington,Tolland,2,734,72,806,950,124,"1,074",43,5,48,G IT L WF,1446,335,"1,781","3,173",536,"3,709"
Wilton,Fairfield,4,4179,135,"4,314",2949,151,"3,100",57,1,58,G IT L SP,4248,240,"4,488","11,433",527,"11,960"
Winchester,Litchfield,1,1481,43,"1,524",1741,64,"1,805",46,1,47,IT L WF,3515,119,"3,634","6,783",227,"7,010"
Windham,Windham,2,1333,376,"1,709",4316,1368,"5,684",155,32,187,G W,4513,2195,"6,708","10,317","3,971","14,288"
Windsor,Hartford,1,2775,127,"2,902",9449,376,"9,825",151,9,160,G IT L WF,7672,374,"8,046","20,047",886,"20,933"
Windsor Locks,Hartford,1,1308,115,"1,423",2386,241,"2,627",71,3,74,G IT L WF,3493,429,"3,922","7,258",788,"8,046"
Wolcott,New Haven,5,2786,64,"2,850",2576,63,"2,639",195,8,203,G IT L WF,5458,165,"5,623","11,015",300,"11,315"
Woodbridge,New Haven,3,1297,55,"1,352",2249,98,"2,347",43,2,45,G IT L,2912,138,"3,050","6,501",293,"6,794"
Woodbury,Litchfield,5,2442,79,"2,521",1534,76,"1,610",192,8,200,G IT L,2575,138,"2,713","6,743",301,"7,044"
Woodstock,Windham,2,1567,101,"1,668",1255,127,"1,382",92,10,102,G IT L,1934,262,"2,196","4,848",500,"5,348"
Totals,,,"407,519","27,189","434,708","712,925","72,962","785,887","20,168","1,638","21,806",,"818,381","97,576","915,957","1,958,993","199,365","2,158,358"
