,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Town,County,CD,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Totals,M Notes,Active,Inactive,Total,Active,Inactive,Totals
Andover,Tolland,2,509,7,516,651,11,662,25,0,25,G IT L,851,24,875,"2,036",42,"2,078"
Ansonia,New Haven,3,1368,109,"1,477",3399,296,"3,695",25,0,25,G IT,4598,483,"5,081","9,390",888,"10,278"
Ashford,Windham,2,492,37,529,953,63,"1,016",25,2,27,G IT L,1189,147,"1,336","2,659",249,"2,908"
Avon,Hartford,5,3847,291,"4,138",3216,311,"3,527",49,7,56,G IT L,4435,662,"5,097","11,547","1,271","12,818"
Barkhamsted,Litchfield,1,715,15,730,670,28,698,23,2,25,G IT L,1182,51,"1,233","2,590",96,"2,686"
Beacon Falls,New Haven,3,904,40,944,985,49,"1,034",40,0,40,G IT L,1951,116,"2,067","3,880",205,"4,085"
Berlin,Hartford,1,3040,148,"3,188",4763,238,"5,001",57,6,63,G IT L,4957,492,"5,449","12,817",884,"13,701"
Bethany,New Haven,3,997,38,"1,035",978,49,"1,027",46,3,49,G IT L,1845,101,"1,946","3,866",191,"4,057"
Bethel,Fairfield,5,2991,93,"3,084",2881,112,"2,993",170,9,179,G IT L PRO WF,5281,246,"5,527","11,323",460,"11,783"
Bethlehem,Litchfield,5,785,46,831,586,72,658,23,3,26,G IT L,1082,232,"1,314","2,476",353,"2,829"
Bloomfield,Hartford,1,1343,236,"1,579",7603,1299,"8,902",68,4,72,G IT L WF,3508,1202,"4,710","12,522","2,741","15,263"
Bolton,Tolland,2,877,56,933,957,98,"1,055",37,5,42,G IT L,1327,168,"1,495","3,198",327,"3,525"
Bozrah,New London,2,320,21,341,601,23,624,45,3,48,IT L,728,54,782,"1,694",101,"1,795"
Branford,New Haven,3,2883,197,"3,080",5955,355,"6,310",77,4,81,G I IT L,9105,628,"9,733","18,020","1,184","19,204"
