Report Date/Time: 01/12/2016 01:50 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,Page Number 1
,,,,,"2016 January Voter Registration - January 1, 2016",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,ACTIVE,,,,,,
,,Precincts,Date/Period,Americans ,,Democratic,Green,Libertarian,Republican,Other,TOTAL
,,,TOTALS,35,"35,163",,89,614,"10,482","33,138","79,486"
,,Legislative District 28,,,,,,,,,
,,,Maricopa,57,"33,384",,167,"1,141","47,322","41,590","123,604"
,,,TOTALS,57,"33,384",,167,"1,141","47,322","41,590","123,604"
Report Date/Time: 01/12/2016 01:50 PM,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 5
,,,,,,"2016 January Voter Registration - January 1, 2016",,,,,
,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,,ACTIVE,,,,,
,Legislative,,,Precincts,Democratic,,Green,Libertarian,Republican,Other,TOTAL
,,Legislative District 29,,,,,,,,,
,,,Maricopa,33,"25,457",,46,783,"13,480","29,880","69,646"
,,,TOTALS,33,"25,457",,46,783,"13,480","29,880","69,646"
,,Legislative District 30,,,,,,,,,
,,,Maricopa,29,"24,377",,93,743,"14,567","28,867","68,647"
,,,TOTALS,29,"24,377",,93,743,"14,567","28,867","68,647"
,,,STATE TOTALS,"1,466","917,411",,"4,628","25,807","1,105,521","1,201,030","3,254,397"
Report Date/Time: 01/12/2016 01:50 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,Page Number 6
,,,,,"2016 January Voter Registration - January 1, 2016",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,INACTIVE,,,,,,
,,Precincts,Date/Period,Americans ,,Democratic,Green,Libertarian,Republican,Other,TOTAL
,Apache,45,Jul-15,0,,"1,517",9,15,575,943,"3,059"
,,45,Oct-15,0,,"1,527",8,14,579,948,"3,076"
,,45,Jan-16,*,,"1,521",8,15,590,961,"3,095"
,Cochise,49,Jul-15,1,,"2,183",26,78,"2,725","4,004","9,017"
,,49,Oct-15,1,,"2,128",26,77,"2,674","4,001","8,907"
,,49,Jan-16,*,,"2,037",25,73,"2,570","3,849","8,554"
,Coconino,71,Jul-15,0,,"3,280",71,195,"2,241","6,143","11,930"
,,71,Oct-15,1,,"3,508",83,202,"2,393","6,554","12,741"
,,71,Jan-16,*,,"3,689",77,220,"2,510","7,050","13,546"
,Gila,39,Jul-15,1,,"1,454",8,39,"1,767","2,030","5,299"
