ADDISON,"26,525"
BENNINGTON,"25,724"
CALEDONIA,"21,456"
CHITTENDEN,"128,407"
ESSEX,"4,512"
FRANKLIN,"33,693"
GRAND ISLE,"5,686"
LAMOILLE,"18,760"
ORANGE,"20,771"
ORLEANS,"19,052"
RUTLAND,"43,441"
WASHINGTON,"44,470"
WINDHAM,"33,153"
WINDSOR,"45,969"
